#2018

-Vicechairs
qz6YaN4AAAAJ*Mirek Riedewald
5okzSN0AAAAJ*Matteo Riondatto
Lx9fbJoAAAAJ*Mohammad Sadoghi
t7z2V78AAAAJ*Ken Salem
XxQq8nsAAAAJ*Semih Salihoglu
nAGXeFkAAAAJ*Pierangela Samarati
M7whMe0AAAAJ*Prasenjit Sarkar
*Thibault Sellam
IJECSdkAAAAJ*Marco Serafini
OFlBSEEAAAAJ*J. Shane Culpepper
*Shuo Shang
-Nw_vTIAAAAJ*Yanyan Shen
*Hengtao Shen
wmleQ1QAAAAJ*Anna Squicciarini
Lck1uq8AAAAJ*Kostas Stefanidis
pyZ_FH4AAAAJ*Ryan Stutsman
FmRpFsoAAAAJ*Letizia Tanca
poXWlycAAAAJ*Nan Tang
Hp8UvrcAAAAJ*Dina Thomas
RaINcuUAAAAJ*Yongxin Tong
Avus2kcAAAAJ*Goce Trajcevski
seXHg1QAAAAJ*Peter Triantafillou
Rmds8IcAAAAJ*Panayiotis Tsaparas
fUTN90MAAAAJ*Vassilis Tsotras
IS2FI1oAAAAJ*Dimitrios Tsoumakos
*Anthony Tung
wYQ-rAQAAAAJ*Antti Ukkonen
7xp4lKgAAAAJ*Stijn Vansummeren
qfCah3sAAAAJ*Nalini Venkatasubramanian
ZxgGJMwAAAAJ*Stratis Viglas
Dc7akeoAAAAJ*Sheng Wang
wLtu3FYAAAAJ*Wei Wang
46Dd4v4AAAAJ*Wei Wang
Inqu8SkAAAAJ*Limsoon Wong
7WFEUNUAAAAJ*Akrivi Vlachou
X53rkecAAAAJ*Eugene Wu
RMaqDKAAAAAJ*Sai Wu
jJ8BLgsAAAAJ*Li Xiong
LJNsBeoAAAAJ*Jianliang Xu
iHevumsAAAAJ*Jeffrey Xu Yu
zMYeuzMAAAAJ*Xiaochun Yang
kbphsU0AAAAJ*Xiaoyan Yang
qjBQhoUAAAAJ*Bin Yang
l7FSy98AAAAJ*Junjie Yao
JJsBmhYAAAAJ*Hongzhi Yin
pHMIJG8AAAAJ*Ting Yu
Xk6QwMgAAAAJ*Quan Yuan
6-SBOoIAAAAJ*Ye Yuan
fv1GAB8AAAAJ*Vladimir Zadorozny
sTAoZeUAAAAJ*Arkady Zaslavsky
y5Jl2xsAAAAJ*Nan Zhang
EkrwLHoAAAAJ*Ce Zhang
nYN9A3IAAAAJ*Dongxiang Zhang
Htf2zbsAAAAJ*Rui Zhang
EM-l50cAAAAJ*Kai Zheng
y6m820wAAAAJ*Xiaofang Zhou
s-FDyf4AAAAJ*Andreas Züfle

#2017

-Program Committee Chairs
81cvn3sAAAAJ*Yannis Papakonstantinou
VghIYWEAAAAJ*Yanlei Diao

-Area Chairs
gtglwgYAAAAJ*Lei Chen
7R7MSb4AAAAJ*Reynold Cheng
9mIBxkMAAAAJ*Wolfgang Gatterbauer
RogYLKYAAAAJ*Bingsheng He
rg6Bl5YAAAAJ*Stratos Idreos
D2P2B0MAAAAJ*Christopher Jermaine
lWw-l1EAAAAJ*Chen Li
mlafJ6wAAAAJ*Gerome Miklau
dwxm_CoAAAAJ*Tamer Özsu
JaAonb0AAAAJ*Olga Papaemmanouil
j6KFCRAAAAAJ*Evimaria Terzi
X53rkecAAAAJ*Eugene Wu

-Program Committee
47sihrsAAAAJ*Ashraf Aboulnaga
kZERbLEAAAAJ*Alex Alves
*Gabriel Antoniu
*Arvind Arasu
E9YbZ3cAAAAJ*Andrey Balmin
ck-yNM0AAAAJ*Zhifeng Bao
yvT-HVYAAAAJ*Sumita Barahmand
e7Qs3JgAAAAJ*Srikanta Bedathur
Iqsl_XMAAAAJ*Carsten Binnig
4_1z8yEAAAAJ*Spyros Blanas
*Philip Bohannon
