"PID","Name","Affiliation","Duty","Conference","Year","City","State","Country","#Papers","#Citations"
"fKV65XQAAAAJ","Jiannan Wang","Assistant Professor;Simon Fraser University","PC Members","sigmod","2017","Chicago","Midwestern","USA",44,1735
"IKgiD0AAAAAJ","Raymond Chi-Wing Wong","TheHong Kong University of Science and Technology","PC Members","sigmod","2017","Chicago","Midwestern","USA",320,5574
"X53rkecAAAAJ","Eugene Wu","Columbia University","PC Members","sigmod","2017","Chicago","Midwestern","USA",73,3568
"Owype4oAAAAJ","Wentao Wu","Microsoft Research","PC Members","sigmod","2017","Chicago","Midwestern","USA",38,909
"6zswH_oAAAAJ","Cong Yu","Senior Staff Research Scientist; Google Research NYC","PC Members","sigmod","2017","Chicago","Midwestern","USA",108,6404
"iHevumsAAAAJ","Jeffrey Xu Yu","Chinese University of Hong Kong","PC Members","sigmod","2017","Chicago","Midwestern","USA",2774,18606
"EA4ZKygAAAAJ","Bo Zhao","Martinos Center for Biomedical Imaging; Harvard Medical School","PC Members","sigmod","2017","Chicago","Midwestern","USA",39,671
"a1ngrCIAAAAJ","Samuel Madden","MIT","Program Chair","sigmod","2016","San Francisco","California","USA",363,41699
"biuxbRsAAAAJ","Tim Kraska","UC Berkeley","PC Track Chairs","sigmod","2016","San Francisco","California","USA",113,3970
"sOzdfjYAAAAJ","Alexandra Meliou","University of Massachusetts; Amherst","PC Track Chairs","sigmod","2016","San Francisco","California","USA",47,773
"rMtUkMcAAAAJ","Sihem Amer-Yahia","Research Director;CNRS; LIG; France","Group Leaders","sigmod","2016","San Francisco","California","USA",243,5859
"DDxFvcIAAAAJ","Magdalena Balazinska","University of Washington","Group Leaders","sigmod","2016","San Francisco","California","USA",186,11065
"Iqsl_XMAAAAJ","Carsten Binnig","Full Professor; Computer Science; TU Darmstadt","Group Leaders","sigmod","2016","San Francisco","California","USA",66,1003
"r1quzEkAAAAJ","Michael Cafarella","Assistant Professor of Computer Science;University of Michigan","Group Leaders","sigmod","2016","San Francisco","California","USA",92,7348
"GhGV4P8AAAAJ","Roman Prokofyev","Chief Scientist at FAIRTIQ AG","Group Leaders","sigmod","2016","San Francisco","California","USA",10,70
"pOh1as0AAAAJ","Amol Deshpande","Professor","Group Leaders","sigmod","2016","San Francisco","California","USA",166,8820
"YG6mTEIAAAAJ","Ihab F. Ilyas","University of Waterloo","Group Leaders","sigmod","2016","San Francisco","California","USA",148,5528
"D2P2B0MAAAAJ","Chris Jermaine","Associate Professor of Computer Science;Rice University","Group Leaders","sigmod","2016","San Francisco","California","USA",98,2486
"jfdT_HIAAAAJ","Justin Levandoski","Microsoft Research","Group Leaders","sigmod","2016","San Francisco","California","USA",57,1722
"hcqjUUQAAAAJ","AmÃ©lie Marian","Associate Professor of Computer Science;Rutgers University","Group Leaders","sigmod","2016","San Francisco","California","USA",51,3418
"vq5oTnEAAAAJ","Kyriakos Mouratidis","School of Information Systems;Singapore Management University","Group Leaders","sigmod","2016","San Francisco","California","USA",68,3497
"YwoezYX7JVgJ","Paolo Papotti","Assist. Professor atEurecom","Group Leaders","sigmod","2016","San Francisco","California","USA",95,1408
"gMOBKfUAAAAJ","Daisy Zhe Wang","University of Florida","Group Leaders","sigmod","2016","San Francisco","California","USA",43,1418
"zxeEF2gAAAAJ","Daniel J. Abadi","Darnell-Kanal Professor of Computer Science;University of Maryland College Park","PC Members","sigmod","2016","San Francisco","California","USA",96,15364
"47sihrsAAAAJ","Ashraf Aboulnaga","Qatar Computing Research Institute; HBKU","PC Members","sigmod","2016","San Francisco","California","USA",84,3384
"pU0dce0AAAAJ","Foto Afrati","Professor of Computer Science;National Technical University of Athens","PC Members","sigmod","2016","San Francisco","California","USA",179,4791
"gC5ucdsAAAAJ","Sameer Agarwal","PhD;UC Berkeley","PC Members","sigmod","2016","San Francisco","California","USA",18,1087
"BtpxluIAAAAJ","Yanif Ahmad","Assistant Professor of Computer Science; TheJohns Hopkins University","PC Members","sigmod","2016","San Francisco","California","USA",51,2290
"ww87pkcAAAAJ","Chadi Barakat","Research Scientist; Inria Sophia Antipolis; France","PC Members","sigmod","2016","San Francisco","California","USA",176,4583
"fkNjVcIAAAAJ","Gustavo Alonso","Professor of Computer Science;ETH ZÃ¼rich; Switzerland","PC Members","sigmod","2016","San Francisco","California","USA",457,19084
"TKSjVTUAAAAJ","Peter Alvaro","Assistant Professor of Computer Science;UC Santa Cruz","PC Members","sigmod","2016","San Francisco","California","USA",36,1810
"rMtUkMcAAAAJ","Sihem Amer-Yahia","Research Director;CNRS; LIG; France","PC Members","sigmod","2016","San Francisco","California","USA",243,5859
"2eUL7eEAAAAJ","Aijun An","Professor of Computer Science;York University","PC Members","sigmod","2016","San Francisco","California","USA",204,13715
"qtfHsnoAAAAJ","Aruna Balasubramanian","Stony Brook University","PC Members","sigmod","2016","San Francisco","California","USA",33,6240
"qG1LVpQAAAAJ","Peter Bailis","Stanford DAWN","PC Members","sigmod","2016","San Francisco","California","USA",31,1191
"DDxFvcIAAAAJ","Magdalena Balazinska","University of Washington","PC Members","sigmod","2016","San Francisco","California","USA",186,11065
"usr3H7gAAAAJ","Denilson Barbosa","Associate Professor of Computing Science;University of Alberta","PC Members","sigmod","2016","San Francisco","California","USA",76,1466
"e7Qs3JgAAAAJ","Srikanta Bedathur","IBM Research","PC Members","sigmod","2016","San Francisco","California","USA",78,1283
"6OEYXEIAAAAJ","Philip A. Bernstein","Microsoft Research","PC Members","sigmod","2016","San Francisco","California","USA",332,34161
"Iqsl_XMAAAAJ","Carsten Binnig","Full Professor; Computer Science; TU Darmstadt","PC Members","sigmod","2016","San Francisco","California","USA",66,1003
"4_1z8yEAAAAJ","Spyros Blanas","Assistant Professor of Computer Science and Engineering; TheOhio State University","PC Members","sigmod","2016","San Francisco","California","USA",23,1055
"dDBGgkEAAAAJ","Michael BÃ¶hlen","Professor of Computer Science;University of Zurich","PC Members","sigmod","2016","San Francisco","California","USA",222,4208
"R1Jt75cAAAAJ","Francesco Bonchi","Research Leader at the ISI Foundation","PC Members","sigmod","2016","San Francisco","California","USA",236,7585
"DCIZE1kAAAAJ","Peter Boncz","Professor; VU University Amsterdam &CWI","PC Members","sigmod","2016","San Francisco","California","USA",232,6265
"2mZrp18AAAAJ","Mohamed ZERGAOUI","CTO of Innovimax","PC Members","sigmod","2016","San Francisco","California","USA",11,79
"S9zyMRgAAAAJ","Philippe Bonnet","IT University of Copenhagen","PC Members","sigmod","2016","San Francisco","California","USA",163,3951
"rPn2SMoAAAAJ","Stephane Bressan","National University of Singapore","PC Members","sigmod","2016","San Francisco","California","USA",282,2582
"0s4q-8oAAAAJ","Nicholas C. Bruno","Georgia Institute of Technology","PC Members","sigmod","2016","San Francisco","California","USA",17,427
"r1quzEkAAAAJ","Michael Cafarella","Assistant Professor of Computer Science;University of Michigan","PC Members","sigmod","2016","San Francisco","California","USA",92,7348
"keO-0s0AAAAJ","K. Selcuk Candan","Professor of Computer Science and Engineering;Arizona State University","PC Members","sigmod","2016","San Francisco","California","USA",347,6135
"On163UsAAAAJ","Alok Chakrabarti","New Jersey Institute of Technology","PC Members","sigmod","2016","San Francisco","California","USA",189,12477
"yB17meAAAAAJ","Badrish Chandramouli","Microsoft Research","PC Members","sigmod","2016","San Francisco","California","USA",85,1212
"sugWZ6MAAAAJ","Kevin Chen-Chuan Chang","University of Illinois at Urbana-Champaign","PC Members","sigmod","2016","San Francisco","California","USA",187,9639
"mGPuiasAAAAJ","Shimin Chen","Institute of Computing Technology; Chinese Academy of Sciences","PC Members","sigmod","2016","San Francisco","California","USA",42,2024
"gtglwgYAAAAJ","Lei Chen","Hong Kong University of Science and Technology","PC Members","sigmod","2016","San Francisco","California","USA",443,9806
"o-I3jsgAAAAJ","Shih-Chin (James) Cheng é„­ä¸–é€²","National Tsing Hua University; Institute of Molecular Medicine","PC Members","sigmod","2016","San Francisco","California","USA",36,2605
"k2cCwvsAAAAJ","Olivia S Cheung","New York University Abu Dhabi","PC Members","sigmod","2016","San Francisco","California","USA",29,616
"gbH5eZQAAAAJ","Fei Chiang","McMaster University","PC Members","sigmod","2016","San Francisco","California","USA",28,652
"8QeCBlwAAAAJ","Sarah Cohen-Boulakia","Professor;UniversitÃ© Paris-Sud(Paris-Saclay)","PC Members","sigmod","2016","San Francisco","California","USA",71,1493
"V6f0Ao4AAAAJ","JesÃºs Camacho-RodrÃ­guez","Member of Technical Staff at Hortonworks","PC Members","sigmod","2016","San Francisco","California","USA",12,90
"7SdcAiEAAAAJ","Tyson Condie","Professor of Computer Science;UCLA","PC Members","sigmod","2016","San Francisco","California","USA",53,3931
"LNgp00MAAAAJ","Bevil R Conway","NIH","PC Members","sigmod","2016","San Francisco","California","USA",75,2393
"AGN14uwAAAAJ","Bret Cooper","Soybean Genomics and Improvement Laboratory; USDA-ARS; Beltsville; MD","PC Members","sigmod","2016","San Francisco","California","USA",110,9720
"GhGV4P8AAAAJ","Roman Prokofyev","Chief Scientist at FAIRTIQ AG","PC Members","sigmod","2016","San Francisco","California","USA",10,70
"IJAU8KoAAAAJ","bin cui","Professor of Computer Science;Peking University","PC Members","sigmod","2016","San Francisco","California","USA",164,3104
"njFoZewAAAAJ","Mahashweta Das","Sr. Research Scientist; Visa Research; Palo Alto","PC Members","sigmod","2016","San Francisco","California","USA",21,156
"LKgo-jcAAAAJ","Sudipto Das","Researcher; Microsoft Research","PC Members","sigmod","2016","San Francisco","California","USA",60,3042
"oaM-d7QAAAAJ","Vasilis Vassalos","Associate Professor of Informatics;Athens University of Economics and Business","PC Members","sigmod","2016","San Francisco","California","USA",92,3242
"pOh1as0AAAAJ","Amol Deshpande","Professor","PC Members","sigmod","2016","San Francisco","California","USA",166,8820
"JUkPW-cAAAAJ","Vinay Setty","Associate Professor;University of Stavanger","PC Members","sigmod","2016","San Francisco","California","USA",27,622
"uGsKvHoAAAAJ","Xin Luna Dong","Principal Scientist;Amazon","PC Members","sigmod","2016","San Francisco","California","USA",87,6685
"pzcJtf4AAAAJ","Christopher Douglas","Associate Professor of Economics;University of Michigan-Flint","PC Members","sigmod","2016","San Francisco","California","USA",16,159
"bEpmUQ0AAAAJ","Eduard Dragut","Assistant Professor of Computer and Information Sciences atTemple University","PC Members","sigmod","2016","San Francisco","California","USA",38,478
"kVUa9ZoAAAAJ","Jennie Rogers","Assistant Professor;Northwestern University","PC Members","sigmod","2016","San Francisco","California","USA",31,1041
"318GQ54AAAAJ","Curtis Dyreson","Computer Science;Utah State University","PC Members","sigmod","2016","San Francisco","California","USA",149,4176
"Hs9cVRgAAAAJ","Alan Fekete","Professor of Enterprise Software Systems;University of Sydney","PC Members","sigmod","2016","San Francisco","California","USA",173,4768
"5WOeXMAAAAAJ","Avrilia Floratou","Senior Scientist atMicrosoft","PC Members","sigmod","2016","San Francisco","California","USA",22,477
"YVwFzwEAAAAJ","Tim Furche","Lecturer Oxford University; Senior research manager Meltwater","PC Members","sigmod","2016","San Francisco","California","USA",125,1553
"9mIBxkMAAAAJ","Wolfgang Gatterbauer","College of Computer and Information Science;Northeastern University","PC Members","sigmod","2016","San Francisco","California","USA",60,1195
"SGay8u4AAAAJ","Floris Geerts","University of Antwerp","PC Members","sigmod","2016","San Francisco","California","USA",97,3627
"s_GmFv0AAAAJ","Rainer Gemulla","Professor for Computer Science;University of Mannheim; Germany","PC Members","sigmod","2016","San Francisco","California","USA",54,2048
"lCdBR8cAAAAJ","Boris Glavic","Assistant Professor;Illinois Institute of Technology","PC Members","sigmod","2016","San Francisco","California","USA",67,639
"IukO3bIAAAAJ","Todd J. Green","Assistant Professor of Computer Science;University of California - Davis","PC Members","sigmod","2016","San Francisco","California","USA",80,3869
"8z0TuC0AAAAJ","Torsten Grust","Professor of Computer Science;University of TÃ¼bingen; Germany","PC Members","sigmod","2016","San Francisco","California","USA",126,3036
"PHJokEQAAAAJ","Dimitrios Gunopulos","National and Kapodistrian University of Athens","PC Members","sigmod","2016","San Francisco","California","USA",361,20354
"Kv9AbjMAAAAJ","Jiawei Han","Abel Bliss Professor of Computer Science;University of Illinois","PC Members","sigmod","2016","San Francisco","California","USA",1060,147758
"Jp_w2IwAAAAJ","Wook-Shin Han","Professor;Pohang University of Science and Technology","PC Members","sigmod","2016","San Francisco","California","USA",112,1741
"NrgcBX8AAAAJ","Carmem Hara","Professor of Computer Science;Federal University of Parana; Brazil","PC Members","sigmod","2016","San Francisco","California","USA",85,2207
"w6-6MLkAAAAJ","Oktie Hassanzadeh","IBM Research /University of Toronto","PC Members","sigmod","2016","San Francisco","California","USA",77,1280
"wuj5y3MAAAAJ","Michael Hay","Colgate University","PC Members","sigmod","2016","San Francisco","California","USA",33,2722
"RogYLKYAAAAJ","Bingsheng He; ä½•ä¸™èƒœ","Associate Professor; Department of Computer Science;National University of Singapore","PC Members","sigmod","2016","San Francisco","California","USA",218,5330
"LbXvZUoAAAAJ","Katja Hose","Aalborg University; Denmark","PC Members","sigmod","2016","San Francisco","California","USA",117,1676
"rg6Bl5YAAAAJ","Stratos Idreos","Harvard School of Engineering and Applied Sciences","PC Members","sigmod","2016","San Francisco","California","USA",109,2540
"YG6mTEIAAAAJ","Ihab F. Ilyas","University of Waterloo","PC Members","sigmod","2016","San Francisco","California","USA",148,5528
"2wJaIkEAAAAJ","Zachary G. Ives","Professor of Computer and Information Science;University of Pennsylvania","PC Members","sigmod","2016","San Francisco","California","USA",152,9681
"lNQmMTMAAAAJ","Ruoming Jin","Associate Professor of Computer Science;Kent State University","PC Members","sigmod","2016","San Francisco","California","USA",136,3680
"f5vdXEQAAAAJ","Alekh Jindal","Senior Scientist;Microsoft","PC Members","sigmod","2016","San Francisco","California","USA",35,1142
"J08pnbAAAAAJ","Eser Kandogan","IBM Research","PC Members","sigmod","2016","San Francisco","California","USA",94,2278
"B6C4aBoAAAAJ","Panagiotis Karras","Associate Professor;Aarhus University","PC Members","sigmod","2016","San Francisco","California","USA",57,1872
"1KdkcSoAAAAJ","Asterios Katsifodimos","Assistant Professor atTU Delft","PC Members","sigmod","2016","San Francisco","California","USA",31,390
"ot2J_RUAAAAJ","Georgios Kellaris","TandemLaunch","PC Members","sigmod","2016","San Francisco","California","USA",11,262
"RLChs4QAAAAJ","Anastasios Kementsietsidis","Google Research","PC Members","sigmod","2016","San Francisco","California","USA",111,3580
"dliZB7MAAAAJ","Alexander F. Kemper","North Carolina State University","PC Members","sigmod","2016","San Francisco","California","USA",92,1904
"9Q9tiCsAAAAJ","Oliver A. Kennedy","Assistant Professor;University at Buffalo","PC Members","sigmod","2016","San Francisco","California","USA",36,272
"slVcOQIAAAAJ","Eamonn Keogh","Professor of Computer Science;University of California - Riverside","PC Members","sigmod","2016","San Francisco","California","USA",340,29934
"Kr6jppsAAAAJ","Martin Kersten","Research Fellow;CWI; Amsterdam","PC Members","sigmod","2016","San Francisco","California","USA",404,9061
"0VFi-vAAAAAJ","George Kollios","Professor of Computer Science;Boston University","PC Members","sigmod","2016","San Francisco","California","USA",135,8293
"f0Wc8tkAAAAJ","Nick Koudas","Professor of Computer Science;University of Toronto","PC Members","sigmod","2016","San Francisco","California","USA",245,15596
"biuxbRsAAAAJ","Tim Kraska","UC Berkeley","PC Members","sigmod","2016","San Francisco","California","USA",113,3970
"3wnvM4wAAAAJ","Hongrae Lee","Research Scientist; Google Research","PC Members","sigmod","2016","San Francisco","California","USA",159,1661
"YYzvyMQAAAAJ","Wolfgang Lehner","Technische UniversitÃ¤t Dresden","PC Members","sigmod","2016","San Francisco","California","USA",488,4922
"C6Pd5zoAAAAJ","Sorin Lerner","Associate Professor; CSE Dept;UC San Diego","PC Members","sigmod","2016","San Francisco","California","USA",78,3190
"jfdT_HIAAAAJ","Justin Levandoski","Microsoft Research","PC Members","sigmod","2016","San Francisco","California","USA",57,1722
"v8ZQDf8AAAAJ","Chengkai Li","Associate Professor of Computer Science and Engineering; TheUniversity of Texas at Arlington","PC Members","sigmod","2016","San Francisco","California","USA",69,1942
"qPDhlWkAAAAJ","Feifei Li","Associate Professor of Computer Science; School of Computing;University of Utah","PC Members","sigmod","2016","San Francisco","California","USA",106,5259
"Pi89P8kAAAAJ","Guoliang Li","Associate Professor;Tsinghua University","PC Members","sigmod","2016","San Francisco","California","USA",137,4692
"0gGww7sAAAAJ","Yunyao Li","Research Staff Member; IBM Research - Almaden","PC Members","sigmod","2016","San Francisco","California","USA",200,3728
"FmSpTXQAAAAJ","Erietta Liarou","Postdoctoral Researcher atEPFL","PC Members","sigmod","2016","San Francisco","California","USA",39,502
"j6rglkYAAAAJ","Xuemin Lin","UNSWScientia Professor","PC Members","sigmod","2016","San Francisco","California","USA",297,10036
"bojNjiYAAAAJ","Ahmed Mohammed AlShammari","PhD Candidate; Faculty of Science; Engineering and Technology;Swinburne University; Australia","PC Members","sigmod","2016","San Francisco","California","USA",3,7
"KAkAdrEAAAAJ","Eric Lau","Assistant Professor; School of Public Health; TheUniversity of Hong Kong","PC Members","sigmod","2016","San Francisco","California","USA",169,2410
"wUkamYwAAAAJ","Guy Lohman","Manager of Disruptive Information Management Architectures; IBM Almaden Research Center","PC Members","sigmod","2016","San Francisco","California","USA",193,10513
"EVNolAkAAAAJ","Jiaheng Lu","Associate Professor ofUniversity of Helsinki; Finland","PC Members","sigmod","2016","San Francisco","California","USA",1043,2990
"SqAsppUAAAAJ","Qiong Luo","HKUST","PC Members","sigmod","2016","San Francisco","California","USA",160,7022
"vJUjFpQAAAAJ","Shuai Ma","Professor atBeihang University; Beijing; China","PC Members","sigmod","2016","San Francisco","California","USA",75,2441
"A0hv6xwAAAAJ","Ashwin Machanavajjhala","Assistant Professor;Duke University","PC Members","sigmod","2016","San Francisco","California","USA",90,6571
"a1ngrCIAAAAJ","Samuel Madden","MIT","PC Members","sigmod","2016","San Francisco","California","USA",363,41699
"113myEYAAAAJ","Jayant Madhavan","Google Inc.","PC Members","sigmod","2016","San Francisco","California","USA",73,11176
"80pKMyMAAAAJ","David Maier","Professor of Computer Science;Portland State University","PC Members","sigmod","2016","San Francisco","California","USA",360,22908
"jOvUDjYAAAAJ","Nikos Mamoulis","University of Ioannina","PC Members","sigmod","2016","San Francisco","California","USA",247,9692
"dZqFyeMAAAAJ","Silviu Maniu","LRI; UniversitÃ© Paris-Sud; UniversitÃ© Paris-Saclay","PC Members","sigmod","2016","San Francisco","California","USA",30,292
"dqgckDgAAAAJ","Essam Mansour","Senior Research Engineer; Qatar Computing Research Institute; Hamad bin Khalifa University","PC Members","sigmod","2016","San Francisco","California","USA",44,341
"hcqjUUQAAAAJ","AmÃ©lie Marian","Associate Professor of Computer Science;Rutgers University","PC Members","sigmod","2016","San Francisco","California","USA",51,3418
"wJdbXnYAAAAJ","Davide Eynard","Researcher;UniversitÃ  della Svizzera Italiana","PC Members","sigmod","2016","San Francisco","California","USA",36,434
"4fAH8jIAAAAJ","Giansalvatore Mecca","Professor of Computer Science;UniversitÃ  della Basilicata","PC Members","sigmod","2016","San Francisco","California","USA",127,4650
"sOzdfjYAAAAJ","Alexandra Meliou","University of Massachusetts; Amherst","PC Members","sigmod","2016","San Francisco","California","USA",47,773
"uF3-t9EAAAAJ","Sergey Melnik","University of Limerick","PC Members","sigmod","2016","San Francisco","California","USA",38,905
"PTwcvk4AAAAJ","Xiaofeng Meng","Professor;Renmin University of China","PC Members","sigmod","2016","San Francisco","California","USA",507,4536
"5_e2f04AAAAJ","Sebastian Michel","Professor of Computer Science;TU Kaiserslautern","PC Members","sigmod","2016","San Francisco","California","USA",132,2308
"NKYtfsYAAAAJ","Umar Farooq Minhas","Researcher; Microsoft Research","PC Members","sigmod","2016","San Francisco","California","USA",23,1190
"ppei17sAAAAJ","Minqi Zhou","East China Normal University","PC Members","sigmod","2016","San Francisco","California","USA",45,860
"GHz1ZVIAAAAJ","Mohamed Mokbel","Chief Scientist; Qatar Computing Research Inst. -- Professor; Comp. Sci. & Eng.;Univ. of Minnesota","PC Members","sigmod","2016","San Francisco","California","USA",263,9935
"vq5oTnEAAAAJ","Kyriakos Mouratidis","School of Information Systems;Singapore Management University","PC Members","sigmod","2016","San Francisco","California","USA",68,3497
"HHd7uewAAAAJ","Barzan Mozafari","Assistant Professor;University of Michigan (Ann Arbor)","PC Members","sigmod","2016","San Francisco","California","USA",48,1467
"lBF-mDAAAAAJ","Hannes MÃ¼hleisen","Centrum Wiskunde & Informatica; Amsterdam; The Netherlands","PC Members","sigmod","2016","San Francisco","California","USA",56,495
"OhiNDfkAAAAJ","Arnab Nandi","Associate Professor; Computer Science & Engineering; The Ohio State University","PC Members","sigmod","2016","San Francisco","California","USA",52,1061
"a-p1NYUAAAAJ","Neha Narula","MIT Media Lab","PC Members","sigmod","2016","San Francisco","California","USA",16,792
"Pqf21y0AAAAJ","Felix Naumann","Hasso Plattner Institute; University of Potsdam","PC Members","sigmod","2016","San Francisco","California","USA",216,6999
"rd7fZnQAAAAJ","Muhammad Naveed","University of Southern California","PC Members","sigmod","2016","San Francisco","California","USA",24,884
"ZfUyYtEAAAAJ","Thomas Neumann","Hochschule fÃ¼r Technik und Wirtschaft Dresden","PC Members","sigmod","2016","San Francisco","California","USA",8,138
"bkcNcHYAAAAJ","Christopher Olston","Staff Research Scientist;Google","PC Members","sigmod","2016","San Francisco","California","USA",90,9121
"4eeIj2gAAAAJ","Dan Olteanu","Professor of Computer Science;Oxford","PC Members","sigmod","2016","San Francisco","California","USA",96,3392
"9560QjYAAAAJ","Beng Chin Ooi","National University of Singapore","PC Members","sigmod","2016","San Francisco","California","USA",340,18261
"W9YkIcoAAAAJ","Carlos Ordonez","Department of Computer Science;University of Houston","PC Members","sigmod","2016","San Francisco","California","USA",152,2884
"dwxm_CoAAAAJ","M. Tamer Ã–zsu","Professor of Computer Science;University of Waterloo","PC Members","sigmod","2016","San Francisco","California","USA",378,15368
"C77agCsAAAAJ","Ippokratis Pandis","Principal Engineer; Amazon Web Services","PC Members","sigmod","2016","San Francisco","California","USA",82,1882
"9Q8DH5sAAAAJ","Dimitrios Papadopoulos","Hong Kong University of Science and Technology","PC Members","sigmod","2016","San Francisco","California","USA",25,167
"XQOSmToAAAAJ","Stavros Papadopoulos","TileDB; Inc.","PC Members","sigmod","2016","San Francisco","California","USA",32,1234
"JaAonb0AAAAJ","Olga Papaemmanouil","Brandeis University","PC Members","sigmod","2016","San Francisco","California","USA",47,769
"4k0lzWwAAAAJ","Charalampos Papamanthou","University of Maryland; College Park","PC Members","sigmod","2016","San Francisco","California","USA",77,3529
"2ubDR0gAAAAJ","Stelios Paparizos","Google","PC Members","sigmod","2016","San Francisco","California","USA",55,1569
"YwoezYX7JVgJ","Paolo Papotti","Assist. Professor atEurecom","PC Members","sigmod","2016","San Francisco","California","USA",95,1408
"2mjUsP8AAAAJ","Srinivasan Parthasarathy","Professor of Computer Science and Engineering; TheOhio State University","PC Members","sigmod","2016","San Francisco","California","USA",493,12984
"fhxshS0AAAAJ","Alexandre Gramfort","INRIA; Univ. Paris-Saclay","PC Members","sigmod","2016","San Francisco","California","USA",142,12156
"u1UDm4wAAAAJ","Andrew Pavlo","Carnegie Mellon University","PC Members","sigmod","2016","San Francisco","California","USA",56,3257
"XGzPuKEAAAAJ","Torben Bach Pedersen","Professor of Computer Science;Aalborg University","PC Members","sigmod","2016","San Francisco","California","USA",291,5530
"zIMEVKsAAAAJ","Jian Pei","Professor of Computing Science;Simon Fraser University","PC Members","sigmod","2016","San Francisco","California","USA",417,77651
"vYcHYoYAAAAJ","Peter Pietzuch","Professor of Distributed Systems;Imperial College London","PC Members","sigmod","2016","San Francisco","California","USA",168,5016
"1jP_gqcAAAAJ","Holger Pirk","Imperial College London","PC Members","sigmod","2016","San Francisco","California","USA",49,447
"3r_xVvkAAAAJ","Evaggelia Pitoura","University of Ioannina; Greece","PC Members","sigmod","2016","San Francisco","California","USA",266,6029
"sLHyO1wAAAAJ","Li Qian (é’±é»Žï¼‰","Professor; Electrical and Computer Engineering;University of Toronto","PC Members","sigmod","2016","San Francisco","California","USA",623,2806
"4daYeHcAAAAJ","Jorge-Arnulfo QuianÃ©-Ruiz","Qatar Computing Research Institute; HBKU","PC Members","sigmod","2016","San Francisco","California","USA",63,1987
"JkA9YJAAAAAJ","Karthik Ramachandra","Microsoft Jim Gray Systems Lab","PC Members","sigmod","2016","San Francisco","California","USA",24,132
"qoUDihAAAAAJ","RAVIKUMAR MUPPIRALA","Unknown affiliation","PC Members","sigmod","2016","San Francisco","California","USA",19,212
"e_SGo7EAAAAJ","Vijayasankar Raman","National Center for Natural Products Research;University of Mississippi","PC Members","sigmod","2016","San Francisco","California","USA",71,706
"DnnCWN0AAAAJ","Christopher RÃ©","Computer Science;Stanford University","PC Members","sigmod","2016","San Francisco","California","USA",194,7440
"GiYeBaAAAAAJ","Marcel Risch","University of Goettingen","PC Members","sigmod","2016","San Francisco","California","USA",53,3669
"8PfpzuEAAAAJ","Florin Rusu","Associate Professor; EECS;UC Merced","PC Members","sigmod","2016","San Francisco","California","USA",59,513
"wKuXqccAAAAJ","Mike Sears","Clemson University","PC Members","sigmod","2016","San Francisco","California","USA",97,2564
"rejzeocAAAAJ","Elaine Runting Shi","Associate Professor; Cornell","PC Members","sigmod","2016","San Francisco","California","USA",164,12593
"eyCw9goAAAAJ","Suvrit Sra","MIT","PC Members","sigmod","2016","San Francisco","California","USA",143,5842
"vN-is70AAAAJ","Ion Stoica","Professor of Computer Science;UC Berkeley","PC Members","sigmod","2016","San Francisco","California","USA",496,86441
"ca7BUlkAAAAJ","Kian-Hian Tan","Assistant Professor Duke-NUS Graduate Medical School","PC Members","sigmod","2016","San Francisco","California","USA",16,243
"YlsHgYQAAAAJ","Nesime Tatbul","Intel Labs andMIT","PC Members","sigmod","2016","San Francisco","California","USA",90,7233
"HPYVJacAAAAJ","Anthony KH Tung","National University of Singapore","PC Members","sigmod","2016","San Francisco","California","USA",182,8653
"gMOBKfUAAAAJ","Daisy Zhe Wang","University of Florida","PC Members","sigmod","2016","San Francisco","California","USA",43,1418
"fKV65XQAAAAJ","Jiannan Wang","Assistant Professor;Simon Fraser University","PC Members","sigmod","2016","San Francisco","California","USA",44,1735
"vNAD0mAAAAAJ","Gerhard Weikum","Professor of Computer Science;Max Planck Institute for Informatics; Saarland Informatics Campus","PC Members","sigmod","2016","San Francisco","California","USA",1002,28594
"L8zhVsMAAAAJ","Tiark Rompf","Purdue University","PC Members","sigmod","2016","San Francisco","California","USA",76,2021
"BpgsGX0AAAAJ","Xiaokui Xiao","National University of Singapore","PC Members","sigmod","2016","San Francisco","California","USA",96,6293
"zMYeuzMAAAAJ","Xiaochun Yang","Professor of Computer Science;Northeastern University; China","PC Members","sigmod","2016","San Francisco","California","USA",968,11404
"6zswH_oAAAAJ","Cong Yu","Senior Staff Research Scientist; Google Research NYC","PC Members","sigmod","2016","San Francisco","California","USA",108,6404
"I1EvjZsAAAAJ","Matei Zaharia","Stanford DAWN Lab and Databricks","PC Members","sigmod","2016","San Francisco","California","USA",112,31926
"sEl5MeQAAAAJ","Kai Zeng","Senior Scientist;Microsoft","PC Members","sigmod","2016","San Francisco","California","USA",19,618
"kp0baVYAAAAJ","Bolong Zheng","TheUniversity of Queensland","PC Members","sigmod","2016","San Francisco","California","USA",14,117
"64zxhRUAAAAJ","Jingren Zhou","Alibaba Group; Microsoft","PC Members","sigmod","2016","San Francisco","California","USA",72,2951
"AQJggUwAAAAJ","Luc Bouganim","Researcher at INRIA SACLAY-ÃŽle de France -  France","Associate Editors","vldb","2018","Rio de Janeiro","Rio de Janeiro","Brazil",119,1893
"Jp_w2IwAAAAJ","Wook-Shin Han","Professor;Pohang University of Science and Technology","Associate Editors","vldb","2018","Rio de Janeiro","Rio de Janeiro","Brazil",112,1741
