"PID","Name","Affiliation","Duty","Conference","Year","City","State","Country","#Papers","#Citations"
"RogYLKYAAAAJ","Bingsheng He; ä½•ä¸™èƒœ","Associate Professor; Department of Computer Science;National University of Singapore","PC Members","sigmod","2018","Houston","Texas","USA",218,5330
"Uk9v1BQAAAAJ","Bongki Moon","Professor of Computer Science & Engineering; Seoul Naitonal University","PC Members","sigmod","2018","Houston","Texas","USA",112,6515
"HF2G3LAAAAAJ","Boon Thau Loo","University of Pennsylvania","PC Members","sigmod","2018","Houston","Texas","USA",220,6707
"6Oy7DZUAAAAJ","Brian Cooper","Student of Public Administration; California State University; Bakersfield","PC Members","sigmod","2018","Houston","Texas","USA",1,0
"Iqsl_XMAAAAJ","Carsten Binnig","Full Professor; Computer Science; TU Darmstadt","PC Members","sigmod","2018","Houston","Texas","USA",66,1003
"EkrwLHoAAAAJ","Ce Zhang","Dr.","PC Members","sigmod","2018","Houston","Texas","USA",21,470
"lWw-l1EAAAAJ","Chen Li","University of California; Irvine","PC Members","sigmod","2018","Houston","Texas","USA",5,53
"v8ZQDf8AAAAJ","Chengkai Li","Associate Professor of Computer Science and Engineering; TheUniversity of Texas at Arlington","PC Members","sigmod","2018","Houston","Texas","USA",69,1942
"bMQIencAAAAJ","Christoph Koch","Professor of Computer Science;EPFL","PC Members","sigmod","2018","Houston","Texas","USA",175,6388
"gMOBKfUAAAAJ","Daisy Zhe Wang","University of Florida","PC Members","sigmod","2018","Houston","Texas","USA",43,1418
"bSWreJ4AAAAJ","Dan Lin","Associate Professor; Director of Cybersecurity Lab;Missouri University of Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",110,2953
"4eeIj2gAAAAJ","Dan Olteanu","Professor of Computer Science;Oxford","PC Members","sigmod","2018","Houston","Texas","USA",96,3392
"PsBGmRcAAAAJ","Dan Ports","University of Washington","PC Members","sigmod","2018","Houston","Texas","USA",49,1365
"7yQLkCMAAAAJ","Danica Porobic","Oracle","PC Members","sigmod","2018","Houston","Texas","USA",21,131
"2BnMsFIAAAAJ","Daniel Deutch","Professor of Computer Science;Tel Aviv University","PC Members","sigmod","2018","Houston","Texas","USA",69,664
"8Wq9hTEAAAAJ","Danyel Fisher","Researcher","PC Members","sigmod","2018","Houston","Texas","USA",157,6052
"7BPMWSkAAAAJ","Dimitris Papadias","Professor of Computer Science;HKUST","PC Members","sigmod","2018","Houston","Texas","USA",221,16879
"kGKlHp0AAAAJ","Divesh Srivastava","AT&T Labs-Research","PC Members","sigmod","2018","Houston","Texas","USA",539,26100
"XcaEg-cAAAAJ","Divyakant Agrawal","Professor of Computer Science;UCSB","PC Members","sigmod","2018","Houston","Texas","USA",745,21193
"bEpmUQ0AAAAJ","Eduard Dragut","Assistant Professor of Computer and Information Sciences atTemple University","PC Members","sigmod","2018","Houston","Texas","USA",38,478
"iIFHZ1UAAAAJ","Elke Rundensteiner","Professor of Computer Science;Worcester Polytechnic Institute","PC Members","sigmod","2018","Houston","Texas","USA",578,11481
"KAkAdrEAAAAJ","Eric Lau","Assistant Professor; School of Public Health; TheUniversity of Hong Kong","PC Members","sigmod","2018","Houston","Texas","USA",169,2410
"3r_xVvkAAAAJ","Evaggelia Pitoura","University of Ioannina; Greece","PC Members","sigmod","2018","Houston","Texas","USA",266,6029
"j6KFCRAAAAAJ","Evimaria Terzi","Associate Professor of Computer Science;Boston University","PC Members","sigmod","2018","Houston","Texas","USA",137,3587
"JzoifEMAAAAJ","Fatma Ozcan","IBM Research - Almaden","PC Members","sigmod","2018","Houston","Texas","USA",97,2444
"qPDhlWkAAAAJ","Feifei Li","Associate Professor of Computer Science; School of Computing;University of Utah","PC Members","sigmod","2018","Houston","Texas","USA",106,5259
"WFFamJkAAAAJ","Gao Cong","Nanyang Technological University","PC Members","sigmod","2018","Houston","Texas","USA",147,7076
"0VFi-vAAAAAJ","George Kollios","Professor of Computer Science;Boston University","PC Members","sigmod","2018","Houston","Texas","USA",135,8293
"4fAH8jIAAAAJ","Giansalvatore Mecca","Professor of Computer Science;UniversitÃ  della Basilicata","PC Members","sigmod","2018","Houston","Texas","USA",127,4650
"gpLVKmEAAAAJ","Graham Cormode","University of Warwick","PC Members","sigmod","2018","Houston","Texas","USA",265,11123
"Pi89P8kAAAAJ","Guoliang Li","Associate Professor;Tsinghua University","PC Members","sigmod","2018","Houston","Texas","USA",137,4692
"SKVnHakAAAAJ","H. V. Jagadish","Unknown affiliation","PC Members","sigmod","2018","Houston","Texas","USA",474,32338
"EYHcnl4AAAAJ","M. Hakan Berument","Bilkent University","PC Members","sigmod","2018","Houston","Texas","USA",54,526
"HHveg2kAAAAJ","Jianhua Hao ï¼ˆéƒå»ºåŽï¼‰","Professor of Applied Physics;Hong Kong Polytechnic Universityï¼ˆé¦™æ¸¯ç†å·¥å¤§å­¦ï¼‰","PC Members","sigmod","2018","Houston","Texas","USA",282,7916
"zbbxc90AAAAJ","hideaki kimura","Brown University","PC Members","sigmod","2018","Houston","Texas","USA",33,906
"1jP_gqcAAAAJ","Holger Pirk","Imperial College London","PC Members","sigmod","2018","Houston","Texas","USA",49,447
"l0_smaMAAAAJ","Iain Jonathan Rae","University College London","PC Members","sigmod","2018","Houston","Texas","USA",160,2172
"FJ7im7AAAAAJ","Immanuel Trummer","Professor for Computer Science;Cornell University","PC Members","sigmod","2018","Houston","Texas","USA",26,189
"C77agCsAAAAJ","Ippokratis Pandis","Principal Engineer; Amazon Web Services","PC Members","sigmod","2018","Houston","Texas","USA",82,1882
"AZREOBUAAAAJ","Jagan Sankaranarayanan","Google Inc","PC Members","sigmod","2018","Houston","Texas","USA",66,2479
"5bYRZ4sAAAAJ","Jaideep Vaidya","RBS Dean's Research Professor of Computer Information Systems;Rutgers University","PC Members","sigmod","2018","Houston","Texas","USA",202,7675
"113myEYAAAAJ","Jayant Madhavan","Google Inc.","PC Members","sigmod","2018","Houston","Texas","USA",73,11176
"kVUa9ZoAAAAJ","Jennie Rogers","Assistant Professor;Northwestern University","PC Members","sigmod","2018","Houston","Texas","USA",31,1041
"fykfPiwAAAAJ","Jens Dittrich","Professor of Computer Science;Saarland University; Saarland Informatics Campus","PC Members","sigmod","2018","Houston","Texas","USA",86,3097
"fKV65XQAAAAJ","Jiannan Wang","Assistant Professor;Simon Fraser University","PC Members","sigmod","2018","Houston","Texas","USA",44,1735
"5tcfuXMAAAAJ","Jignesh M. Patel","Professor of Compuer Sciences;University of Wisconsin","PC Members","sigmod","2018","Houston","Texas","USA",224,12099
"Ftj1h4cAAAAJ","Jing Gao","Assistant Professor; Computer Science and Engineering;SUNY at Buffalo","PC Members","sigmod","2018","Houston","Texas","USA",149,5080
"gM2WW9UAAAAJ","Joseph Gonzalez","Assistant Professor;UC Berkeley","PC Members","sigmod","2018","Houston","Texas","USA",2114,15638
"UhJRkaIAAAAJ","Julia Stoyanovich","Drexel University","PC Members","sigmod","2018","Houston","Texas","USA",63,856
"BGh9WU4AAAAJ","Julian Shun","MIT","PC Members","sigmod","2018","Houston","Texas","USA",44,820
"jfdT_HIAAAAJ","Justin Levandoski","Microsoft Research","PC Members","sigmod","2018","Houston","Texas","USA",57,1722
"X9NC1jIAAAAJ","Dr. Kaushik Chakrabarti","Senior Research Fellow; Department of Materials Science; Indian Association for the Cultivation of","PC Members","sigmod","2018","Houston","Texas","USA",13,285
