-18k9ocAAAAJ,19,198
-l5-OIQAAAAJ,70,642
-NdSrrYAAAAJ,116,6685
-Nw_vTIAAAAJ,1,0
-QycpNcAAAAJ,249,6828
-tjGaHAAAAAJ,68,748
0EWw1z8AAAAJ,352,11736
0gGww7sAAAAJ,200,3728
0RdtBlUAAAAJ,111,2821
0s4q-8oAAAAJ,17,427
0VFi-vAAAAAJ,135,8293
0XpXCu8AAAAJ,58,1824
113myEYAAAAJ,73,11176
11JgipcAAAAJ,228,13919
13Nd-WcAAAAJ,21,188
15bmyOkAAAAJ,53,1972
1D-7MFgAAAAJ,183,2150
1G3LiQMAAAAJ,44,4659
1JhvxSEAAAAJ,85,6048
1jP_gqcAAAAJ,49,447
1KdkcSoAAAAJ,31,390
1poKDLsAAAAJ,193,14725
1upl5vQAAAAJ,19,128
1WXDq-sAAAAJ,24,223
1XZix7MAAAAJ,13,31
1yE4VlgAAAAJ,44,3050
1ZO4t_AAAAAJ,147,4972
2aXlMOAAAAAJ,387,12525
2BnMsFIAAAAJ,69,664
2cpal78AAAAJ,415,13740
2eUL7eEAAAAJ,204,13715
2jk-DfkAAAAJ,0,0
2lpWTDYAAAAJ,263,5875
2lZr6WsAAAAJ,124,6108
2mjUsP8AAAAJ,493,12984
2mZrp18AAAAJ,11,79
2ps8xkcAAAAJ,223,1571
2QkR2WoAAAAJ,113,12406
2QUyZaMAAAAJ,47,368
2T5fDJQAAAAJ,50,2232
2ubDR0gAAAAJ,55,1569
2wJaIkEAAAAJ,152,9681
2YD5wcEAAAAJ,19,540
318GQ54AAAAJ,149,4176
36XiC_4AAAAJ,107,2415
39uRKZsAAAAJ,70,3059
3AV1TsAAAAAJ,446,10110
3BX3vWcAAAAJ,168,9621
3C-n5Y8AAAAJ,50,152
3FmJBHkAAAAJ,214,15813
3fvu4fcAAAAJ,58,2411
3ggE9SkAAAAJ,280,24144
3HUfWfkAAAAJ,29,1165
3NqU8V8AAAAJ,19,166
3pXvHPUAAAAJ,69,1210
3r_xVvkAAAAJ,266,6029
3wnvM4wAAAAJ,159,1661
3Y254i4AAAAJ,211,18274
3YDUbP0AAAAJ,175,3368
46Dd4v4AAAAJ,8,204
47gh3JkAAAAJ,153,2407
47sihrsAAAAJ,84,3384
4B-C50EAAAAJ,869,3147
4cvCp0kAAAAJ,51,626
4daYeHcAAAAJ,63,1987
4eeIj2gAAAAJ,96,3392
4fAH8jIAAAAJ,127,4650
4gaNzroAAAAJ,187,3736
4giObdQAAAAJ,197,4086
4k0lzWwAAAAJ,77,3529
4MDT20wAAAAJ,87,2381
4VLZdawAAAAJ,229,16588
4ZYEiVEAAAAJ,130,15691
4_1z8yEAAAAJ,23,1055
5bYRZ4sAAAAJ,202,7675
5FqFNgcAAAAJ,70,1640
5I0mFcsAAAAJ,102,1101
5Ljnma4AAAAJ,88,1037
5okzSN0AAAAJ,19,538
5tcfuXMAAAAJ,224,12099
5WOeXMAAAAAJ,22,477
5_e2f04AAAAJ,132,2308
6-SBOoIAAAAJ,303,4248
63bBmc3mYrAC,153,2253
64zxhRUAAAAJ,72,2951
6cR0AYIAAAAJ,52,537
6CYvAjIAAAAJ,51,595
6DK9cqAAAAAJ,18,717
6f9jHBUAAAAJ,52,2876
6OEYXEIAAAAJ,332,34161
6Oy7DZUAAAAJ,1,0
6TOQpT4AAAAJ,21,178
6WmaCN8AAAAJ,32,1781
6zswH_oAAAAJ,108,6404
7BPMWSkAAAAJ,221,16879
7G5G9mkAAAAJ,236,4723
7GMeGfgAAAAJ,129,4326
7PQN6r4AAAAJ,95,1717
7qyHAfAAAAAJ,21,426
7R7MSb4AAAAJ,1040,5957
7SdcAiEAAAAJ,53,3931
7Vh0rQ0AAAAJ,15,155
7WFEUNUAAAAJ,57,1529
7xp4lKgAAAAJ,79,1472
7yQLkCMAAAAJ,21,131
80pKMyMAAAAJ,360,22908
81cvn3sAAAAJ,189,14689
84VKAOtBpz4C,19,734
87TyXPcAAAAJ,133,1104
89WvmaAAAAAJ,57,1011
8AiPiU0AAAAJ,23,144
8nZV2tEAAAAJ,17,113
8PfpzuEAAAAJ,59,513
8qdXaOkAAAAJ,49,751
8QeCBlwAAAAJ,71,1493
8qOWtywAAAAJ,82,819
8RZQjpEAAAAJ,17,612
8Wq9hTEAAAAJ,157,6052
8yoVipwAAAAJ,192,3501
8z0TuC0AAAAJ,126,3036
9560QjYAAAAJ,340,18261
9a-vkpgAAAAJ,95,3744
9AZkn6sAAAAJ,94,356
