PID,Duty, Title, Author, Co-Author1, Co-Author2, Co-Author3, Co-Author4, Co-Author5, Conference, Year, #Citations
0EWw1z8AAAAJ,PC@VLDB, Overview of the TREC-2012 Microblog Track, Ian Soboroff,  Iadh Ounis,  Craig Macdonald,  Jimmy Lin, , , TREC,2012,95
0EWw1z8AAAAJ,PC@VLDB, Answer extraction; semantic clustering; and extractive summarization for clinical question answering, Dina Demner-Fushman,  Jimmy Lin, , , , , Proceedings of the 21st International Conference on Computational Linguistics and the 44th annual meeting of the Association for Computational Linguistics,2006,94
0EWw1z8AAAAJ,PC@VLDB, Web-scale computer vision using MapReduce for multimedia data mining, Brandyn White,  Tom Yeh,  Jimmy Lin,  Larry Davis, , , Proceedings of the Tenth International Workshop on Multimedia Data Mining,2010,90
0EWw1z8AAAAJ,PC@VLDB, A cascade ranking model for efficient ranked retrieval, Lidan Wang,  Jimmy Lin,  Donald Metzler, , , , Proceedings of the 34th international ACM SIGIR conference on Research and development in Information Retrieval,2011,89
0EWw1z8AAAAJ,PC@VLDB, Multi-perspective sentence similarity modeling with convolutional neural networks, Hua He,  Kevin Gimpel,  Jimmy Lin, , , , Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing,2015,86
0EWw1z8AAAAJ,PC@VLDB, Fast data in the era of big data: Twitter's real-time related query suggestion architecture, Gilad Mishne,  Jeff Dalton,  Zhenghua Li,  Aneesh Sharma,  Jimmy Lin, , Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,84
0EWw1z8AAAAJ,PC@VLDB, The curse of Zipf and limits to parallelization: A look at the stragglers problem in MapReduce, Jimmy Lin, , , , , , 7th Workshop on Large-Scale Distributed Systems for Information Retrieval,2009,84
0EWw1z8AAAAJ,PC@VLDB, REXTOR: a system for generating relations from natural language, Boris Katz,  Jimmy Lin, , , , , Proceedings of the ACL-2000 workshop on Recent advances in natural language processing and information retrieval: held in conjunction with the 38th Annual Meeting of the Association for Computational Linguistics-Volume 11,2000,81
0EWw1z8AAAAJ,PC@VLDB, Learning to efficiently rank, Lidan Wang,  Jimmy Lin,  Donald Metzler, , , , Proceedings of the 33rd international ACM SIGIR conference on Research and development in information retrieval,2010,78
0EWw1z8AAAAJ,PC@VLDB, The Web as a Resource for Question Answering: Perspectives and Challenges, Jimmy Lin, , , , , , LREC,2002,77
0EWw1z8AAAAJ,PC@VLDB, Integrating Web-based and Corpus-based Techniques for Question Answering., Boris Katz,  Jimmy Lin,  Daniel Loreto,  Wesley Hildebrandt,  Matthew Bilotti,  Sue Felshin, TREC,2003,76
0EWw1z8AAAAJ,PC@VLDB, An exploration of the principles underlying redundancy-based factoid question answering, Jimmy Lin, , , , , , ACM Transactions on Information Systems (TOIS),2007,75
0EWw1z8AAAAJ,PC@VLDB, What works better for question answering: Stemming or morphological query expansion?, Matthew W Bilotti,  Boris Katz,  Jimmy Lin, , , , Proceedings of the Information Retrieval for Question Answering (IR4QA) Workshop at SIGIR,2004,75
0EWw1z8AAAAJ,PC@VLDB, Automatically evaluating answers to definition questions, Jimmy Lin,  Dina Demner-Fushman, , , , , Proceedings of the conference on Human Language Technology and Empirical Methods in Natural Language Processing,2005,74
0EWw1z8AAAAJ,PC@VLDB, The role of knowledge in conceptual retrieval: a study in the domain of clinical medicine, Jimmy Lin,  Dina Demner-Fushman, , , , , Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,2006,72
0EWw1z8AAAAJ,PC@VLDB, Will pyramids built of nuggets topple over?, Jimmy Lin,  Dina Demner-Fushman, , , , , Proceedings of the main conference on Human Language Technology Conference of the North American Chapter of the Association of Computational Linguistics,2006,71
0EWw1z8AAAAJ,PC@VLDB, Summingbird: A framework for integrating batch and online MapReduce computations, Oscar Boykin,  Sam Ritchie,  Ian O'Connell,  Jimmy Lin, , , Proceedings of the VLDB Endowment,2014,70
0EWw1z8AAAAJ,PC@VLDB, Fast; easy; and cheap: Construction of statistical machine translation models with MapReduce, Christopher Dyer,  Aaron Cordova,  Alex Mont,  Jimmy Lin, , , Proceedings of the Third Workshop on Statistical Machine Translation,2008,70
0EWw1z8AAAAJ,PC@VLDB, Recounting the courts? Applying automated content analysis to enhance empirical legal research, Michael Evans,  Wayne McIntosh,  Jimmy Lin,  Cynthia Cates, , , Journal of Empirical Legal Studies,2007,69
0EWw1z8AAAAJ,PC@VLDB, Comparative Evaluation of a Natural Language Dialog Based System and a Menu Driven System for Information Access: a Case Study, Joyce Chai,  Jimmy Lin,  Wlodek Zadrozny,  Yiming Ye,  Margo Budzikowska,  Veronika Horvath, Content-Based Multimedia Information Access-Volume 2,2000,67
0EWw1z8AAAAJ,PC@VLDB, Askmsr: Question answering using the worldwide web, Michele Banko,  Eric Brill,  Susan Dumais,  Jimmy Lin, , , Proceedings of 2002 AAAI Spring Symposium on Mining Answers from Texts and Knowledge Bases,2002,66
0EWw1z8AAAAJ,PC@VLDB, Building a reusable test collection for question answering, Jimmy Lin,  Boris Katz, , , , , Journal of the Association for Information Science and Technology,2006,65
0EWw1z8AAAAJ,PC@VLDB, Generative content models for structural analysis of medical abstracts, Jimmy Lin,  Damianos Karakos,  Dina Demner-Fushman,  Sanjeev Khudanpur, , , Proceedings of the Workshop on Linking Natural Language Processing and Biology: Towards Deeper Biological Literature Analysis,2006,63
0EWw1z8AAAAJ,PC@VLDB, On building a reusable Twitter corpus, Richard McCreadie,  Ian Soboroff,  Jimmy Lin,  Craig Macdonald,  Iadh Ounis,  Dean McCullough, Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,2012,62
0EWw1z8AAAAJ,PC@VLDB, The unified logging infrastructure for data analytics at Twitter, George Lee,  Jimmy Lin,  Chuang Liu,  Andrew Lorek,  Dmitriy Ryaboy, , Proceedings of the VLDB Endowment,2012,62
0EWw1z8AAAAJ,PC@VLDB, You Are Where You Edit: Locating Wikipedia Contributors through Edit Histories., Michael D Lieberman,  Jimmy J Lin, , , , , ICWSM,2009,59
0EWw1z8AAAAJ,PC@VLDB, Knowledge extraction for clinical question answering: Preliminary results, Dina Demner-Fushman,  Jimmy Lin, , , , , Proceedings of the AAAI-05 Workshop on Question Answering in Restricted Domains,2005,58
0EWw1z8AAAAJ,PC@VLDB, Single-document and multi-document summarization techniques for email threads using sentence compression, David M Zajic,  Bonnie J Dorr,  Jimmy Lin, , , , Information Processing & Management,2008,57
0EWw1z8AAAAJ,PC@VLDB, Of Ivory and Smurfs: Loxodontan MapReduce experiments for web search, Jimmy Lin,  Donald Metzler,  Tamer Elsayed,  Lidan Wang, , , *,2009,56
0EWw1z8AAAAJ,PC@VLDB, The role of context in question answering systems, Jimmy Lin,  Dennis Quan,  Vineet Sinha,  Karun Bakshi,  David Huynh,  Boris Katz, CHI'03 extended abstracts on Human factors in computing systems,2003,55
0EWw1z8AAAAJ,PC@VLDB, Extracting answers from the web using knowledge annotation and knowledge mining techniques, Jimmy Lin,  Aaron Fernandes,  Boris Katz,  Gregory Marton,  Stefanie Tellex, , *,2006,54
0EWw1z8AAAAJ,PC@VLDB, Is searching full text more effective than searching abstracts?, Jimmy Lin, , , , , , BMC bioinformatics,2009,53
0EWw1z8AAAAJ,PC@VLDB, Answering Questions about Moving Objects in Surveillance Videos., Boris Katz,  Jimmy J Lin,  Chris Stauffer,  W Eric L Grimson, , , New directions in question answering,2003,52
0EWw1z8AAAAJ,PC@VLDB, Natural language annotations for the Semantic Web, Boris Katz,  Jimmy Lin,  Dennis Quan, , , ," OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""",2002,51
0EWw1z8AAAAJ,PC@VLDB, Overview of the TREC 2006 ciQA task, Diane Kelly,  Jimmy Lin, , , , , ACM SIGIR Forum,2007,47
0EWw1z8AAAAJ,PC@VLDB, Fusion of knowledge-intensive and statistical approaches for retrieving and annotating textual genomics documents., Alan R Aronson,  Dina Demner-Fushman,  Susanne M Humphrey,  Jimmy J Lin,  Patrick Ruch,  Miguel E Ruiz, TREC,2005,47
0EWw1z8AAAAJ,PC@VLDB, Full-text indexing for optimizing selection operations in large-scale data analytics, Jimmy Lin,  Dmitriy Ryaboy,  Kevin Weil, , , , Proceedings of the second international workshop on MapReduce and its applications,2011,44
0EWw1z8AAAAJ,PC@VLDB, Pairwise word interaction modeling with deep neural networks for semantic similarity measurement, Hua He,  Jimmy Lin, , , , , Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,2016,42
0EWw1z8AAAAJ,PC@VLDB, How do users find things with PubMed? Towards automatic utility evaluation with user simulations, Jimmy Lin,  Mark D Smucker, , , , , Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,42
0EWw1z8AAAAJ,PC@VLDB, Scaling populations of a genetic algorithm for job shop scheduling problems using MapReduce, Di-Wei Huang,  Jimmy Lin, , , , , Cloud Computing Technology and Science (CloudCom); 2010 IEEE Second International Conference on,2010,41
0EWw1z8AAAAJ,PC@VLDB, The START Multimedia Information System: Current Technology and Future Directions., Boris Katz,  Jimmy J Lin,  Sue Felshin, , , , Multimedia Information Systems,2002,41
0EWw1z8AAAAJ,PC@VLDB, Methods for automatically evaluating answers to complex questions, Jimmy Lin,  Dina Demner-Fushman, , , , , Information Retrieval,2006,40
0EWw1z8AAAAJ,PC@VLDB, The role of a natural language conversational interface in online sales: a case study, Joyce Chai,  Jimmy Lin,  Wlodek Zadrozny,  Yiming Ye,  Margo Stys-Budzikowska,  Veronika Horvath, International Journal of Speech Technology,2001,40
0EWw1z8AAAAJ,PC@VLDB, No free lunch: brute force vs. locality-sensitive hashing for cross-lingual pairwise similarity, Ferhan Ture,  Tamer Elsayed,  Jimmy Lin, , , , Proceedings of the 34th international ACM SIGIR conference on Research and development in Information Retrieval,2011,39
0EWw1z8AAAAJ,PC@VLDB, Identification of user sessions with hierarchical agglomerative clustering, G Craig Murray,  Jimmy Lin,  Abdur Chowdhury, , , , Proceedings of the Association for Information Science and Technology,2006,39
0EWw1z8AAAAJ,PC@VLDB, Effectiveness/efficiency tradeoffs for candidate generation in multi-stage retrieval architectures, Nima Asadi,  Jimmy Lin, , , , , Proceedings of the 36th international ACM SIGIR conference on Research and development in information retrieval,2013,38
0EWw1z8AAAAJ,PC@VLDB, Evaluation of NLP systems, Philip Resnik,  Jimmy Lin, , , , , The handbook of computational linguistics and natural language processing,2010,37
0EWw1z8AAAAJ,PC@VLDB, A paraphrase-based approach to machine translation evaluation, Grazia Russo-Lassner,  Jimmy Lin,  Philip Resnik, , , , *,2005,37
0EWw1z8AAAAJ,PC@VLDB, Annotating the semantic web using natural language, Boris Katz,  Jimmy Lin, , , , , Proceedings of the 2nd workshop on NLP and XML-Volume 17,2002,37
0EWw1z8AAAAJ,PC@VLDB, Evaluating real-time search over tweets, Ian Soboroff,  Dean McCullough,  Jimmy Lin,  Craig Macdonald,  Iadh Ounis,  Richard McCreadie, Proc. ICWSM,2012,36
0EWw1z8AAAAJ,PC@VLDB," A Study of"" Churn"" in Tweets and Real-Time Search Queries.", Jimmy J Lin,  Gilad Mishne, , , , , ICWSM,2012,36
0EWw1z8AAAAJ,PC@VLDB, Scalable language processing algorithms for the masses: A case study in computing word co-occurrence matrices with MapReduce, Jimmy Lin, , , , , , Proceedings of the Conference on Empirical Methods in Natural Language Processing,2008,36
0EWw1z8AAAAJ,PC@VLDB, Crowdflow: Integrating machine learning with mechanical turk for speed-cost-quality flexibility, Alexander J Quinn,  Benjamin B Bederson,  Tom Yeh,  Jimmy Lin, , , Better performance over iterations,2010,35
0EWw1z8AAAAJ,PC@VLDB, Noise-contrastive estimation for answer selection with deep neural networks, Jinfeng Rao,  Hua He,  Jimmy Lin, , , , Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,2016,34
0EWw1z8AAAAJ,PC@VLDB, Gathering knowledge for a question answering system from heterogeneous information sources, Boris Katz,  Jimmy Lin,  Sue Felshin, , , , Proceedings of the workshop on Human Language Technology and Knowledge Management-Volume 2001,2001,34
0EWw1z8AAAAJ,PC@VLDB, Answering Multiple Questions on a Topic From Heterogeneous Resources., Boris Katz,  Matthew W Bilotti,  Sue Felshin,  Aaron Fernandes,  Wesley Hildebrandt,  Roni Katzir, TREC,2004,33
