PID, Duty, Conference, Year, City, State, Country
AZREOBUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
5bYRZ4sAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
113myEYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
kVUa9ZoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
fykfPiwAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
fKV65XQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
5tcfuXMAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Ftj1h4cAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
UhJRkaIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
BGh9WU4AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
jfdT_HIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
X9NC1jIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
dWcZPFEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
ca7BUlkAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
mADR4AYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
QY-earAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
_RCsaOsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
jZgjlGUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
gtglwgYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
jJ8BLgsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
1JhvxSEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
DDxFvcIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
oJ6G8gUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
RyXHY68AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
DuLgpaQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
wuj5y3MAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
WemX9rAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
kOc0x0MAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Lx9fbJoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
FzNzuBsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
qXb4xQMAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
poXWlycAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
jOvUDjYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Qc_4yiYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
B6C4aBoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
#NAME?,PC Members,sigmod,2018,Houston,Texas,USA
YwoezYX7JVgJ,PC Members,sigmod,2018,Houston,Texas,USA
CaO1wNAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
TKSjVTUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
qG1LVpQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
vYcHYoYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
JTmMb3kAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
SqAsppUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
IKgiD0AAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
aPB--KUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
OLfQNfEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
pyZ_FH4AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
KtP9-zYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
OiVJBdAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
XxQq8nsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
uF3-t9EAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
MTZaRW4AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
8qdXaOkAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
