PID, Role, Conference, Year
Qc_4yiYAAAAJ,PC Members,sigmod,2018
B6C4aBoAAAAJ,PC Members,sigmod,2018
-NdSrrYAAAAJ,PC Members,sigmod,2018
YwoezYX7JVgJ,PC Members,sigmod,2018
CaO1wNAAAAAJ,PC Members,sigmod,2018
TKSjVTUAAAAJ,PC Members,sigmod,2018
qG1LVpQAAAAJ,PC Members,sigmod,2018
vYcHYoYAAAAJ,PC Members,sigmod,2018
JTmMb3kAAAAJ,PC Members,sigmod,2018
SqAsppUAAAAJ,PC Members,sigmod,2018
IKgiD0AAAAAJ,PC Members,sigmod,2018
aPB--KUAAAAJ,PC Members,sigmod,2018
7R7MSb4AAAAJ,PC Members,sigmod,2018
OLfQNfEAAAAJ,PC Members,sigmod,2018
pyZ_FH4AAAAJ,PC Members,sigmod,2018
KtP9-zYAAAAJ,PC Members,sigmod,2018
OiVJBdAAAAAJ,PC Members,sigmod,2018
XxQq8nsAAAAJ,PC Members,sigmod,2018
uF3-t9EAAAAJ,PC Members,sigmod,2018
MTZaRW4AAAAJ,PC Members,sigmod,2018
8qdXaOkAAAAJ,PC Members,sigmod,2018
2cpal78AAAAJ,PC Members,sigmod,2018
o0F3sqEAAAAJ,PC Members,sigmod,2018
4_1z8yEAAAAJ,PC Members,sigmod,2018
k3YaoIEAAAAJ,PC Members,sigmod,2018
aiulJmIAAAAJ,PC Members,sigmod,2018
w6hts30AAAAJ,PC Members,sigmod,2018
rg6Bl5YAAAAJ,PC Members,sigmod,2018
vzfO5TwAAAAJ,PC Members,sigmod,2018
LKgo-jcAAAAJ,PC Members,sigmod,2018
dwxm_CoAAAAJ,PC Members,sigmod,2018
ZUzG5igAAAAJ,PC Members,sigmod,2018
ZfUyYtEAAAAJ,PC Members,sigmod,2018
biuxbRsAAAAJ,PC Members,sigmod,2018
IukO3bIAAAAJ,PC Members,sigmod,2018
ewCT-KkAAAAJ,PC Members,sigmod,2018
VKfq59gAAAAJ,PC Members,sigmod,2018
nKR2tGvMLFMC,PC Members,sigmod,2018
Md2HV1cAAAAJ,PC Members,sigmod,2018
u0S6ofAAAAAJ,PC Members,sigmod,2018
Owype4oAAAAJ,PC Members,sigmod,2018
oPGhz_cAAAAJ,PC Members,sigmod,2018
YYzvyMQAAAAJ,PC Members,sigmod,2018
Jp_w2IwAAAAJ,PC Members,sigmod,2018
y6m820wAAAAJ,PC Members,sigmod,2018
BpgsGX0AAAAJ,PC Members,sigmod,2018
XZV2eogAAAAJ,PC Members,sigmod,2018
Y1aOQ3QAAAAJ,PC Members,sigmod,2018
BtpxluIAAAAJ,PC Members,sigmod,2018
81cvn3sAAAAJ,PC Members,sigmod,2018
FI1rYesAAAAJ,PC Members,sigmod,2018
K-isjagAAAAJ,PC Members,sigmod,2018
XbLPeQcAAAAJ,PC Members,sigmod,2018
r1VFrkAAAAAJ,PC Members,sigmod,2018
9LTwX4cAAAAJ,PC Members,sigmod,2018
9u7wNjUAAAAJ,PC Members,sigmod,2018
_XE_jhQAAAAJ,PC Members,sigmod,2018
3FmJBHkAAAAJ,PC Members,sigmod,2018
SB3_eb0AAAAJ,PC Members,sigmod,2018
Qg7T6vUAAAAJ,PC Members,sigmod,2018
p3aFd0sAAAAJ,PC Members,sigmod,2018
ck-yNM0AAAAJ,PC Members,sigmod,2018
Q7QvAjgAAAAJ,PC Members,sigmod,2018
QUdlpN0AAAAJ,PC Members,sigmod,2018
SIxd6jgAAAAJ,Program Chair,sigmod,2017
DDxFvcIAAAAJ,Vice Chairs,sigmod,2017
4eeIj2gAAAAJ,Vice Chairs,sigmod,2017
YdrkeNwAAAAJ,Group Leaders,sigmod,2017
6OEYXEIAAAAJ,Group Leaders,sigmod,2017
XbLPeQcAAAAJ,Group Leaders,sigmod,2017
wb9DYOEAAAAJ,Group Leaders,sigmod,2017
e8WrHMwAAAAJ,Group Leaders,sigmod,2017
sSzAlq0AAAAJ,Group Leaders,sigmod,2017
bxSK7o8AAAAJ,Group Leaders,sigmod,2017
4VLZdawAAAAJ,Group Leaders,sigmod,2017
q6Ft35wAAAAJ,Group Leaders,sigmod,2017
VeB3UbcAAAAJ,Group Leaders,sigmod,2017
8RZQjpEAAAAJ,Group Leaders,sigmod,2017
KtP9-zYAAAAJ,Group Leaders,sigmod,2017
3FmJBHkAAAAJ,Group Leaders,sigmod,2017
SdGU2bMAAAAJ,Group Leaders,sigmod,2017
47sihrsAAAAJ,PC Members,sigmod,2017
3BX3vWcAAAAJ,PC Members,sigmod,2017
BtpxluIAAAAJ,PC Members,sigmod,2017
TKSjVTUAAAAJ,PC Members,sigmod,2017
Y1aOQ3QAAAAJ,PC Members,sigmod,2017
AjuZwsIAAAAJ,PC Members,sigmod,2017
Vg_tH_0AAAAJ,PC Members,sigmod,2017
ObrHM1sAAAAJ,PC Members,sigmod,2017
vX45evgAAAAJ,PC Members,sigmod,2017
qG1LVpQAAAAJ,PC Members,sigmod,2017
O125w4cAAAAJ,PC Members,sigmod,2017
atL47L0AAAAJ,PC Members,sigmod,2017
EfuT9RoAAAAJ,PC Members,sigmod,2017
Iqsl_XMAAAAJ,PC Members,sigmod,2017
4_1z8yEAAAAJ,PC Members,sigmod,2017
0RdtBlUAAAAJ,PC Members,sigmod,2017
keO-0s0AAAAJ,PC Members,sigmod,2017
6cR0AYIAAAAJ,PC Members,sigmod,2017
aiulJmIAAAAJ,PC Members,sigmod,2017
9Qs9CEQAAAAJ,PC Members,sigmod,2017
G-1f1G4AAAAJ,PC Members,sigmod,2017
7R7MSb4AAAAJ,PC Members,sigmod,2017
qljqoI0AAAAJ,PC Members,sigmod,2017
PDwcE7wAAAAJ,PC Members,sigmod,2017
1WXDq-sAAAAJ,PC Members,sigmod,2017
8QeCBlwAAAAJ,PC Members,sigmod,2017
mdE4fyoAAAAJ,PC Members,sigmod,2017
7SdcAiEAAAAJ,PC Members,sigmod,2017
gpLVKmEAAAAJ,PC Members,sigmod,2017
oleB9xIAAAAJ,PC Members,sigmod,2017
njFoZewAAAAJ,PC Members,sigmod,2017
LKgo-jcAAAAJ,PC Members,sigmod,2017
Ka6w1vgAAAAJ,PC Members,sigmod,2017
2BnMsFIAAAAJ,PC Members,sigmod,2017
2lZr6WsAAAAJ,PC Members,sigmod,2017
fykfPiwAAAAJ,PC Members,sigmod,2017
IF0C9wQAAAAJ,PC Members,sigmod,2017
bEpmUQ0AAAAJ,PC Members,sigmod,2017
kVUa9ZoAAAAJ,PC Members,sigmod,2017
318GQ54AAAAJ,PC Members,sigmod,2017
u0S6ofAAAAAJ,PC Members,sigmod,2017
Hs9cVRgAAAAJ,PC Members,sigmod,2017
5WOeXMAAAAAJ,PC Members,sigmod,2017
Ftj1h4cAAAAJ,PC Members,sigmod,2017
9mIBxkMAAAAJ,PC Members,sigmod,2017
MVxcjEoAAAAJ,PC Members,sigmod,2017
s_GmFv0AAAAJ,PC Members,sigmod,2017
lCdBR8cAAAAJ,PC Members,sigmod,2017
IukO3bIAAAAJ,PC Members,sigmod,2017
LdixJxkAAAAJ,PC Members,sigmod,2017
8z0TuC0AAAAJ,PC Members,sigmod,2017
w6-6MLkAAAAJ,PC Members,sigmod,2017
wuj5y3MAAAAJ,PC Members,sigmod,2017
yJ998VYAAAAJ,PC Members,sigmod,2017
K5VPw-IAAAAJ,PC Members,sigmod,2017
LbXvZUoAAAAJ,PC Members,sigmod,2017
dQ-x9NQAAAAJ,PC Members,sigmod,2017
rg6Bl5YAAAAJ,PC Members,sigmod,2017
YG6mTEIAAAAJ,PC Members,sigmod,2017
2wJaIkEAAAAJ,PC Members,sigmod,2017
f5vdXEQAAAAJ,PC Members,sigmod,2017
2QkR2WoAAAAJ,PC Members,sigmod,2017
aYYaoTEAAAAJ,PC Members,sigmod,2017
w2CfzowAAAAJ,PC Members,sigmod,2017
eavzCOMAAAAJ,PC Members,sigmod,2017
nwDychwAAAAJ,PC Members,sigmod,2017
9Q9tiCsAAAAJ,PC Members,sigmod,2017
QY-earAAAAAJ,PC Members,sigmod,2017
dg3_PMoAAAAJ,PC Members,sigmod,2017
jNQlAkoAAAAJ,PC Members,sigmod,2017
CaO1wNAAAAAJ,PC Members,sigmod,2017
biuxbRsAAAAJ,PC Members,sigmod,2017
39uRKZsAAAAJ,PC Members,sigmod,2017
HYDToQYAAAAJ,PC Members,sigmod,2017
UR4eDW4AAAAJ,PC Members,sigmod,2017
FJtpK04AAAAJ,PC Members,sigmod,2017
YYzvyMQAAAAJ,PC Members,sigmod,2017
Vday3jIAAAAJ,PC Members,sigmod,2017
jfdT_HIAAAAJ,PC Members,sigmod,2017
jqzSwdsAAAAJ,PC Members,sigmod,2017
rDfyQnIAAAAJ,PC Members,sigmod,2017
Pi89P8kAAAAJ,PC Members,sigmod,2017
DwKNhwwAAAAJ,PC Members,sigmod,2017
ZZdB48QAAAAJ,PC Members,sigmod,2017
84VKAOtBpz4C,PC Members,sigmod,2017
j6rglkYAAAAJ,PC Members,sigmod,2017
dBJXoN0AAAAJ,PC Members,sigmod,2017
VIwtdckAAAAJ,PC Members,sigmod,2017
1upl5vQAAAAJ,PC Members,sigmod,2017
A0hv6xwAAAAJ,PC Members,sigmod,2017
jOvUDjYAAAAJ,PC Members,sigmod,2017
BauIS1IAAAAJ,PC Members,sigmod,2017
E0QQoIMAAAAJ,PC Members,sigmod,2017
X_mATf8AAAAJ,PC Members,sigmod,2017
4fAH8jIAAAAJ,PC Members,sigmod,2017
sOzdfjYAAAAJ,PC Members,sigmod,2017
5_e2f04AAAAJ,PC Members,sigmod,2017
X1-ovCkAAAAJ,PC Members,sigmod,2017
GHz1ZVIAAAAJ,PC Members,sigmod,2017
Uk9v1BQAAAAJ,PC Members,sigmod,2017
JMwO_hkAAAAJ,PC Members,sigmod,2017
OhiNDfkAAAAJ,PC Members,sigmod,2017
ZfUyYtEAAAAJ,PC Members,sigmod,2017
FXIxFs4AAAAJ,PC Members,sigmod,2017
9560QjYAAAAJ,PC Members,sigmod,2017
W9YkIcoAAAAJ,PC Members,sigmod,2017
PlgV6FwAAAAJ,PC Members,sigmod,2017
5Ljnma4AAAAJ,PC Members,sigmod,2017
dwxm_CoAAAAJ,PC Members,sigmod,2017
XQOSmToAAAAJ,PC Members,sigmod,2017
2ubDR0gAAAAJ,PC Members,sigmod,2017
YwoezYX7JVgJ,PC Members,sigmod,2017
5tcfuXMAAAAJ,PC Members,sigmod,2017
