PID, Role, Conference, Year
JkA9YJAAAAAJ,PC Members,sigmod,2016
qoUDihAAAAAJ,PC Members,sigmod,2016
e_SGo7EAAAAJ,PC Members,sigmod,2016
DnnCWN0AAAAJ,PC Members,sigmod,2016
GiYeBaAAAAAJ,PC Members,sigmod,2016
8PfpzuEAAAAJ,PC Members,sigmod,2016
wKuXqccAAAAJ,PC Members,sigmod,2016
rejzeocAAAAJ,PC Members,sigmod,2016
eyCw9goAAAAJ,PC Members,sigmod,2016
vN-is70AAAAJ,PC Members,sigmod,2016
ca7BUlkAAAAJ,PC Members,sigmod,2016
YlsHgYQAAAAJ,PC Members,sigmod,2016
HPYVJacAAAAJ,PC Members,sigmod,2016
gMOBKfUAAAAJ,PC Members,sigmod,2016
fKV65XQAAAAJ,PC Members,sigmod,2016
vNAD0mAAAAAJ,PC Members,sigmod,2016
L8zhVsMAAAAJ,PC Members,sigmod,2016
BpgsGX0AAAAJ,PC Members,sigmod,2016
zMYeuzMAAAAJ,PC Members,sigmod,2016
6zswH_oAAAAJ,PC Members,sigmod,2016
I1EvjZsAAAAJ,PC Members,sigmod,2016
sEl5MeQAAAAJ,PC Members,sigmod,2016
kp0baVYAAAAJ,PC Members,sigmod,2016
64zxhRUAAAAJ,PC Members,sigmod,2016
AQJggUwAAAAJ,Associate Editors,vldb,2018
Jp_w2IwAAAAJ,Associate Editors,vldb,2018
0EWw1z8AAAAJ,Associate Editors,vldb,2018
q6Ft35wAAAAJ,Associate Editors,vldb,2018
NjeM1LsAAAAJ,Associate Editors,vldb,2018
GHz1ZVIAAAAJ,Associate Editors,vldb,2018
Pqf21y0AAAAJ,Associate Editors,vldb,2018
2mjUsP8AAAAJ,Associate Editors,vldb,2018
u1UDm4wAAAAJ,Associate Editors,vldb,2018
KtP9-zYAAAAJ,Associate Editors,vldb,2018
SdGU2bMAAAAJ,Associate Editors,vldb,2018
_XE_jhQAAAAJ,Associate Editors,vldb,2018
LJNsBeoAAAAJ,Associate Editors,vldb,2018
DuLgpaQAAAAJ,Associate Editors,vldb,2018
qFiMLsIAAAAJ,Associate Editors,vldb,2018
zV_MbA4AAAAJ,Research Track PC,vldb,2018
v2-C4i4AAAAJ,Research Track PC,vldb,2018
2eUL7eEAAAAJ,Research Track PC,vldb,2018
Hs9cVRgAAAAJ,Research Track PC,vldb,2018
szORzAoAAAAJ,Research Track PC,vldb,2018
sOzdfjYAAAAJ,Research Track PC,vldb,2018
IBZL3aQAAAAJ,Research Track PC,vldb,2018
YdrkeNwAAAAJ,Research Track PC,vldb,2018
GfDVWmEAAAAJ,Research Track PC,vldb,2018
7Vh0rQ0AAAAJ,Research Track PC,vldb,2018
srFoN_4AAAAJ,Research Track PC,vldb,2018
A3ZBxxcAAAAJ,Research Track PC,vldb,2018
11JgipcAAAAJ,Research Track PC,vldb,2018
Sk-JV9QAAAAJ,Research Track PC,vldb,2018
hZQ57XcAAAAJ,Research Track PC,vldb,2018
47sihrsAAAAJ,Research Track PC,vldb,2018
A0hv6xwAAAAJ,Research Track PC,vldb,2018
1KdkcSoAAAAJ,Research Track PC,vldb,2018
reTa2HwAAAAJ,Research Track PC,vldb,2018
RkddXygAAAAJ,Research Track PC,vldb,2018
o5k9wxUAAAAJ,Research Track PC,vldb,2018
HHd7uewAAAAJ,Research Track PC,vldb,2018
9560QjYAAAAJ,Research Track PC,vldb,2018
iASQcSYAAAAJ,Research Track PC,vldb,2018
jKHvF80AAAAJ,Research Track PC,vldb,2018
AjYkTi8AAAAJ,Research Track PC,vldb,2018
S6L1eOMAAAAJ,Research Track PC,vldb,2018
h2ivd3AAAAAJ,Research Track PC,vldb,2018
wb9DYOEAAAAJ,Research Track PC,vldb,2018
NrgcBX8AAAAJ,Research Track PC,vldb,2018
GkXqbmMAAAAJ,Research Track PC,vldb,2018
mcz6T78AAAAJ,Research Track PC,vldb,2018
IiSNwnAAAAAJ,Research Track PC,vldb,2018
DnnCWN0AAAAJ,Research Track PC,vldb,2018
15bmyOkAAAAJ,Research Track PC,vldb,2018
INQwsQkAAAAJ,Research Track PC,vldb,2018
Kw71k1gAAAAJ,Research Track PC,vldb,2018
gMOBKfUAAAAJ,Research Track PC,vldb,2018
PsBGmRcAAAAJ,Research Track PC,vldb,2018
mdE4fyoAAAAJ,Research Track PC,vldb,2018
2T5fDJQAAAAJ,Research Track PC,vldb,2018
hI3a_oIAAAAJ,Research Track PC,vldb,2018
kGKlHp0AAAAJ,Research Track PC,vldb,2018
iIFHZ1UAAAAJ,Research Track PC,vldb,2018
gg0HkEsAAAAJ,Research Track PC,vldb,2018
JzoifEMAAAAJ,Research Track PC,vldb,2018
uLa0zdcAAAAJ,Research Track PC,vldb,2018
qPDhlWkAAAAJ,Research Track PC,vldb,2018
iG3kO1QAAAAJ,Research Track PC,vldb,2018
8PfpzuEAAAAJ,Research Track PC,vldb,2018
R1Jt75cAAAAJ,Research Track PC,vldb,2018
RcCvJVQAAAAJ,Research Track PC,vldb,2018
WFFamJkAAAAJ,Research Track PC,vldb,2018
F0uFT_kAAAAJ,Research Track PC,vldb,2018
0VFi-vAAAAAJ,Research Track PC,vldb,2018
RG3PiFgAAAAJ,Research Track PC,vldb,2018
v19BUHIAAAAJ,Research Track PC,vldb,2018
Pi89P8kAAAAJ,Research Track PC,vldb,2018
SKVnHakAAAAJ,Research Track PC,vldb,2018
Q1mcglAAAAAJ,Research Track PC,vldb,2018
DdHED4IAAAAJ,Research Track PC,vldb,2018
IF0C9wQAAAAJ,Research Track PC,vldb,2018
TBaBNdkAAAAJ,Research Track PC,vldb,2018
6WmaCN8AAAAJ,Research Track PC,vldb,2018
oqpT1YUAAAAJ,Research Track PC,vldb,2018
jyykiFIAAAAJ,Research Track PC,vldb,2018
1jP_gqcAAAAJ,Research Track PC,vldb,2018
s3lQL7YAAAAJ,Research Track PC,vldb,2018
HNwwWQgAAAAJ,Research Track PC,vldb,2018
FJ7im7AAAAAJ,Research Track PC,vldb,2018
kdv2ajAAAAAJ,Research Track PC,vldb,2018
5bYRZ4sAAAAJ,Research Track PC,vldb,2018
o-I3jsgAAAAJ,Research Track PC,vldb,2018
iHevumsAAAAJ,Research Track PC,vldb,2018
fykfPiwAAAAJ,Research Track PC,vldb,2018
zIMEVKsAAAAJ,Research Track PC,vldb,2018
fKV65XQAAAAJ,Research Track PC,vldb,2018
FtbGhBQAAAAJ,Research Track PC,vldb,2018
xHC1VkoAAAAJ,Research Track PC,vldb,2018
3C-n5Y8AAAAJ,Research Track PC,vldb,2018
iWy055wAAAAJ,Research Track PC,vldb,2018
nl8dmycAAAAJ,Research Track PC,vldb,2018
jfdT_HIAAAAJ,Research Track PC,vldb,2018
i6wFsEQAAAAJ,Research Track PC,vldb,2018
YxHLAJkAAAAJ,Research Track PC,vldb,2018
C6yankcAAAAJ,Research Track PC,vldb,2018
3Y254i4AAAAJ,Research Track PC,vldb,2018
_RCsaOsAAAAJ,Research Track PC,vldb,2018
FmRpFsoAAAAJ,Research Track PC,vldb,2018
jJ8BLgsAAAAJ,Research Track PC,vldb,2018
uGsKvHoAAAAJ,Research Track PC,vldb,2018
DDxFvcIAAAAJ,Research Track PC,vldb,2018
IJECSdkAAAAJ,Research Track PC,vldb,2018
36XiC_4AAAAJ,Research Track PC,vldb,2018
WiQmAvYAAAAJ,Research Track PC,vldb,2018
nSg32MQAAAAJ,Research Track PC,vldb,2018
jrPG2AUAAAAJ,Research Track PC,vldb,2018
47gh3JkAAAAJ,Research Track PC,vldb,2018
K5VPw-IAAAAJ,Research Track PC,vldb,2018
r1quzEkAAAAJ,Research Track PC,vldb,2018
KHjLaWAAAAAJ,Research Track PC,vldb,2018
kOc0x0MAAAAJ,Research Track PC,vldb,2018
YlsHgYQAAAAJ,Research Track PC,vldb,2018
mIKYkDgAAAAJ,Research Track PC,vldb,2018
Qc_4yiYAAAAJ,Research Track PC,vldb,2018
cIuzBbsAAAAJ,Research Track PC,vldb,2018
w6-6MLkAAAAJ,Research Track PC,vldb,2018
JaAonb0AAAAJ,Research Track PC,vldb,2018
9Q9tiCsAAAAJ,Research Track PC,vldb,2018
TezsWQUAAAAJ,Research Track PC,vldb,2018
B6C4aBoAAAAJ,Research Track PC,vldb,2018
YwoezYX7JVgJ,Research Track PC,vldb,2018
qG1LVpQAAAAJ,Research Track PC,vldb,2018
JTmMb3kAAAAJ,Research Track PC,vldb,2018
GU9HgNAAAAAJ,Research Track PC,vldb,2018
3ggE9SkAAAAJ,Research Track PC,vldb,2018
4gaNzroAAAAJ,Research Track PC,vldb,2018
SKRWv2IAAAAJ,Research Track PC,vldb,2018
7R7MSb4AAAAJ,Research Track PC,vldb,2018
VMmPdi0AAAAJ,Research Track PC,vldb,2018
OLfQNfEAAAAJ,Research Track PC,vldb,2018
K5VpjOsAAAAJ,Research Track PC,vldb,2018
9a-vkpgAAAAJ,Research Track PC,vldb,2018
J2sg9BwAAAAJ,Research Track PC,vldb,2018
keO-0s0AAAAJ,Research Track PC,vldb,2018
uF3-t9EAAAAJ,Research Track PC,vldb,2018
K6xHUEsAAAAJ,Research Track PC,vldb,2018
Fe8iIHMAAAAJ,Research Track PC,vldb,2018
FI5-sZEAAAAJ,Research Track PC,vldb,2018
rMtUkMcAAAAJ,Research Track PC,vldb,2018
4_1z8yEAAAAJ,Research Track PC,vldb,2018
e7Qs3JgAAAAJ,Research Track PC,vldb,2018
sWgtY_sAAAAJ,Research Track PC,vldb,2018
rPn2SMoAAAAJ,Research Track PC,vldb,2018
LKgo-jcAAAAJ,Research Track PC,vldb,2018
XHfTq_gAAAAJ,Research Track PC,vldb,2018
qFOwPNQAAAAJ,Research Track PC,vldb,2018
L8zhVsMAAAAJ,Research Track PC,vldb,2018
biuxbRsAAAAJ,Research Track PC,vldb,2018
NKYtfsYAAAAJ,Research Track PC,vldb,2018
QT9-AZ4AAAAJ,Research Track PC,vldb,2018
_3I7KHAAAAAJ,Research Track PC,vldb,2018
qFOwPNQAAAAJ,Research Track PC,vldb,2018
gV-JU9EAAAAJ,Research Track PC,vldb,2018
-l5-OIQAAAAJ,Research Track PC,vldb,2018
oad6_oEAAAAJ,Research Track PC,vldb,2018
vX45evgAAAAJ,Research Track PC,vldb,2018
9OdHL5wAAAAJ,Research Track PC,vldb,2018
pPInY4UAAAAJ,Research Track PC,vldb,2018
46Dd4v4AAAAJ,Research Track PC,vldb,2018
oPGhz_cAAAAJ,Research Track PC,vldb,2018
zMYeuzMAAAAJ,Research Track PC,vldb,2018
y6m820wAAAAJ,Research Track PC,vldb,2018
MT_DWa4AAAAJ,Research Track PC,vldb,2018
j6rglkYAAAAJ,Research Track PC,vldb,2018
Y1aOQ3QAAAAJ,Research Track PC,vldb,2018
TQgOjK0AAAAJ,Research Track PC,vldb,2018
rgD-ISsAAAAJ,Research Track PC,vldb,2018
jCJDleAAAAAJ,Research Track PC,vldb,2018
3FmJBHkAAAAJ,Research Track PC,vldb,2018
r0nnyGYAAAAJ,Research Track PC,vldb,2018
ck-yNM0AAAAJ,Research Track PC,vldb,2018
GSQaeoQAAAAJ,Research Track PC,vldb,2018
F_MI0pcAAAAJ,Industrial Track PC,vldb,2018
_wgpzQkAAAAJ,Industrial Track PC,vldb,2018
5WOeXMAAAAAJ,Industrial Track PC,vldb,2018
WcVpbRwAAAAJ,Industrial Track PC,vldb,2018
GzfP-DYAAAAJ,Industrial Track PC,vldb,2018
JzoifEMAAAAJ,Industrial Track PC,vldb,2018
pdDeRScAAAAJ,Industrial Track PC,vldb,2018
o_ydpSIAAAAJ,Industrial Track PC,vldb,2018
5tcfuXMAAAAJ,Industrial Track PC,vldb,2018
e1M9wXEAAAAJ,Industrial Track PC,vldb,2018
GuUidjwAAAAJ,Industrial Track PC,vldb,2018
X22nUYgAAAAJ,Industrial Track PC,vldb,2018
1yE4VlgAAAAJ,Industrial Track PC,vldb,2018
PWWKcAMAAAAJ,Industrial Track PC,vldb,2018
AjxoEpIAAAAJ,Industrial Track PC,vldb,2018
CIFkSBUAAAAJ,Industrial Track PC,vldb,2018
RJML1hgAAAAJ,Industrial Track PC,vldb,2018
-tjGaHAAAAAJ,Industrial Track PC,vldb,2018
47sihrsAAAAJ,Associate Editors,vldb,2017
mGPuiasAAAAJ,Associate Editors,vldb,2017
oleB9xIAAAAJ,Associate Editors,vldb,2017
pOh1as0AAAAJ,Associate Editors,vldb,2017
2wJaIkEAAAAJ,Associate Editors,vldb,2017
SqAsppUAAAAJ,Associate Editors,vldb,2017
BauIS1IAAAAJ,Associate Editors,vldb,2017
q6Ft35wAAAAJ,Associate Editors,vldb,2017
MTZaRW4AAAAJ,Associate Editors,vldb,2017
JzoifEMAAAAJ,Associate Editors,vldb,2017
B_GQDXMAAAAJ,Associate Editors,vldb,2017
gv2S7xYAAAAJ,Associate Editors,vldb,2017
vNAD0mAAAAAJ,Associate Editors,vldb,2017
Hs9cVRgAAAAJ,Research Track PC,vldb,2017
f5vdXEQAAAAJ,Research Track PC,vldb,2017
am2ohp0AAAAJ,Research Track PC,vldb,2017
UR4eDW4AAAAJ,Research Track PC,vldb,2017
IBZL3aQAAAAJ,Research Track PC,vldb,2017
0RdtBlUAAAAJ,Research Track PC,vldb,2017
LFTRuMEAAAAJ,Research Track PC,vldb,2017
HPYVJacAAAAJ,Research Track PC,vldb,2017
3fvu4fcAAAAJ,Research Track PC,vldb,2017
OhiNDfkAAAAJ,Research Track PC,vldb,2017
qtfHsnoAAAAJ,Research Track PC,vldb,2017
1KdkcSoAAAAJ,Research Track PC,vldb,2017
tlh8i7gAAAAJ,Research Track PC,vldb,2017
5WOeXMAAAAAJ,Research Track PC,vldb,2017
RkddXygAAAAJ,Research Track PC,vldb,2017
Nc_AL5UAAAAJ,Research Track PC,vldb,2017
jrPG2AUAAAAJ,Research Track PC,vldb,2017
IJAU8KoAAAAJ,Research Track PC,vldb,2017
RogYLKYAAAAJ,Research Track PC,vldb,2017
AjYkTi8AAAAJ,Research Track PC,vldb,2017
Uk9v1BQAAAAJ,Research Track PC,vldb,2017
lCdBR8cAAAAJ,Research Track PC,vldb,2017
P2Sg2CIAAAAJ,Research Track PC,vldb,2017
mcz6T78AAAAJ,Research Track PC,vldb,2017
v8ZQDf8AAAAJ,Research Track PC,vldb,2017
IiSNwnAAAAAJ,Research Track PC,vldb,2017
D2P2B0MAAAAJ,Research Track PC,vldb,2017
EJbzAU0AAAAJ,Research Track PC,vldb,2017
6zswH_oAAAAJ,Research Track PC,vldb,2017
318GQ54AAAAJ,Research Track PC,vldb,2017
jEdhxGMAAAAJ,Research Track PC,vldb,2017
gMOBKfUAAAAJ,Research Track PC,vldb,2017
4eeIj2gAAAAJ,Research Track PC,vldb,2017
T_YePXEAAAAJ,Research Track PC,vldb,2017
2T5fDJQAAAAJ,Research Track PC,vldb,2017
evZ9Q9EAAAAJ,Research Track PC,vldb,2017
tDZy_OsAAAAJ,Research Track PC,vldb,2017
jaqDCS4AAAAJ,Research Track PC,vldb,2017
EfuT9RoAAAAJ,Research Track PC,vldb,2017
GAlAgGsAAAAJ,Research Track PC,vldb,2017
dqgckDgAAAAJ,Research Track PC,vldb,2017
X53rkecAAAAJ,Research Track PC,vldb,2017
pi985dQAAAAJ,Research Track PC,vldb,2017
gbH5eZQAAAAJ,Research Track PC,vldb,2017
qPDhlWkAAAAJ,Research Track PC,vldb,2017
X_mATf8AAAAJ,Research Track PC,vldb,2017
aP-_mb8AAAAJ,Research Track PC,vldb,2017
tSsTPxgAAAAJ,Research Track PC,vldb,2017
RG3PiFgAAAAJ,Research Track PC,vldb,2017
4fAH8jIAAAAJ,Research Track PC,vldb,2017
pdDeRScAAAAJ,Research Track PC,vldb,2017
Pi89P8kAAAAJ,Research Track PC,vldb,2017
DdHED4IAAAAJ,Research Track PC,vldb,2017
Lkt7O6wAAAAJ,Research Track PC,vldb,2017
lBF-mDAAAAAJ,Research Track PC,vldb,2017
-18k9ocAAAAJ,Research Track PC,vldb,2017
1jP_gqcAAAAJ,Research Track PC,vldb,2017
HNwwWQgAAAAJ,Research Track PC,vldb,2017
YG6mTEIAAAAJ,Research Track PC,vldb,2017
7G5G9mkAAAAJ,Research Track PC,vldb,2017
3YDUbP0AAAAJ,Research Track PC,vldb,2017
C77agCsAAAAJ,Research Track PC,vldb,2017
w2n5LhUAAAAJ,Research Track PC,vldb,2017
iiIxp8cAAAAJ,Research Track PC,vldb,2017
o-I3jsgAAAAJ,Research Track PC,vldb,2017
2jk-DfkAAAAJ,Research Track PC,vldb,2017
iHevumsAAAAJ,Research Track PC,vldb,2017
kVUa9ZoAAAAJ,Research Track PC,vldb,2017
SdGU2bMAAAAJ,Research Track PC,vldb,2017
EVNolAkAAAAJ,Research Track PC,vldb,2017
LJNsBeoAAAAJ,Research Track PC,vldb,2017
5tcfuXMAAAAJ,Research Track PC,vldb,2017
hEonvSwAAAAJ,Research Track PC,vldb,2017
gM2WW9UAAAAJ,Research Track PC,vldb,2017
UhJRkaIAAAAJ,Research Track PC,vldb,2017
uDvhoEkAAAAJ,Research Track PC,vldb,2017
1G3LiQMAAAAJ,Research Track PC,vldb,2017
LbXvZUoAAAAJ,Research Track PC,vldb,2017
C6yankcAAAAJ,Research Track PC,vldb,2017
w2CfzowAAAAJ,Research Track PC,vldb,2017
MWBc0-MAAAAJ,Research Track PC,vldb,2017
_xFTK8wAAAAJ,Research Track PC,vldb,2017
DCIZE1kAAAAJ,Research Track PC,vldb,2017
jZgjlGUAAAAJ,Research Track PC,vldb,2017
jJ8BLgsAAAAJ,Research Track PC,vldb,2017
AQJggUwAAAAJ,Research Track PC,vldb,2017
OsKAdpEAAAAJ,Research Track PC,vldb,2017
jNQlAkoAAAAJ,Research Track PC,vldb,2017
njFoZewAAAAJ,Research Track PC,vldb,2017
IJECSdkAAAAJ,Research Track PC,vldb,2017
Kr6jppsAAAAJ,Research Track PC,vldb,2017
yMFHG7wAAAAJ,Research Track PC,vldb,2017
JireFzMAAAAJ,Research Track PC,vldb,2017
y6BXzxIAAAAJ,Research Track PC,vldb,2017
pgqqPmwAAAAJ,Research Track PC,vldb,2017
K5VPw-IAAAAJ,Research Track PC,vldb,2017
dDBGgkEAAAAJ,Research Track PC,vldb,2017
wuj5y3MAAAAJ,Research Track PC,vldb,2017
MRbdeWkAAAAJ,Research Track PC,vldb,2017
KBiBATkAAAAJ,Research Track PC,vldb,2017
GHz1ZVIAAAAJ,Research Track PC,vldb,2017
kOc0x0MAAAAJ,Research Track PC,vldb,2017
FzNzuBsAAAAJ,Research Track PC,vldb,2017
qXb4xQMAAAAJ,Research Track PC,vldb,2017
13Nd-WcAAAAJ,Research Track PC,vldb,2017
f0Wc8tkAAAAJ,Research Track PC,vldb,2017
0s4q-8oAAAAJ,Research Track PC,vldb,2017
jOvUDjYAAAAJ,Research Track PC,vldb,2017
X-9OH6AAAAAJ,Research Track PC,vldb,2017
9Q9tiCsAAAAJ,Research Track PC,vldb,2017
8qOWtywAAAAJ,Research Track PC,vldb,2017
-NdSrrYAAAAJ,Research Track PC,vldb,2017
AQA5QtAAAAAJ,Research Track PC,vldb,2017
njKmu5cAAAAJ,Research Track PC,vldb,2017
lCdBR8cAAAAJ,Research Track PC,vldb,2017
gsE1VKUAAAAJ,Research Track PC,vldb,2017
qG1LVpQAAAAJ,Research Track PC,vldb,2017
TKSjVTUAAAAJ,Research Track PC,vldb,2017
NpccCXwAAAAJ,Research Track PC,vldb,2017
nAGXeFkAAAAJ,Research Track PC,vldb,2017
JTmMb3kAAAAJ,Research Track PC,vldb,2017
NvKHgzkAAAAJ,Research Track PC,vldb,2017
reYJaYMAAAAJ,Research Track PC,vldb,2017
7R7MSb4AAAAJ,Research Track PC,vldb,2017
IGZ5WmgAAAAJ,Research Track PC,vldb,2017
KtP9-zYAAAAJ,Research Track PC,vldb,2017
RMaqDKAAAAAJ,Research Track PC,vldb,2017
5_e2f04AAAAJ,Research Track PC,vldb,2017
keO-0s0AAAAJ,Research Track PC,vldb,2017
XxQq8nsAAAAJ,Research Track PC,vldb,2017
O125w4cAAAAJ,Research Track PC,vldb,2017
63bBmc3mYrAC,Research Track PC,vldb,2017
o0F3sqEAAAAJ,Research Track PC,vldb,2017
e7Qs3JgAAAAJ,Research Track PC,vldb,2017
4cvCp0kAAAAJ,Research Track PC,vldb,2017
ZxgGJMwAAAAJ,Research Track PC,vldb,2017
vzfO5TwAAAAJ,Research Track PC,vldb,2017
LKgo-jcAAAAJ,Research Track PC,vldb,2017
hrr5co4AAAAJ,Research Track PC,vldb,2017
dwxm_CoAAAAJ,Research Track PC,vldb,2017
ZUzG5igAAAAJ,Research Track PC,vldb,2017
yJ998VYAAAAJ,Research Track PC,vldb,2017
IukO3bIAAAAJ,Research Track PC,vldb,2017
8z0TuC0AAAAJ,Research Track PC,vldb,2017
7SdcAiEAAAAJ,Research Track PC,vldb,2017
NKYtfsYAAAAJ,Research Track PC,vldb,2017
hJjASywAAAAJ,Research Track PC,vldb,2017
wLtu3FYAAAAJ,Research Track PC,vldb,2017
Nr6E_rIAAAAJ,Research Track PC,vldb,2017
qFiMLsIAAAAJ,Research Track PC,vldb,2017
y6m820wAAAAJ,Research Track PC,vldb,2017
TZ91yu8AAAAJ,Research Track PC,vldb,2017
AHOG_MgAAAAJ,Research Track PC,vldb,2017
2aXlMOAAAAAJ,Research Track PC,vldb,2017
FI1rYesAAAAJ,Research Track PC,vldb,2017
K-isjagAAAAJ,Research Track PC,vldb,2017
XbLPeQcAAAAJ,Research Track PC,vldb,2017
84VKAOtBpz4C,Research Track PC,vldb,2017
TQgOjK0AAAAJ,Research Track PC,vldb,2017
jCJDleAAAAAJ,Research Track PC,vldb,2017
_XE_jhQAAAAJ,Research Track PC,vldb,2017
3FmJBHkAAAAJ,Research Track PC,vldb,2017
QXyj0hkAAAAJ,Research Track PC,vldb,2017
ck-yNM0AAAAJ,Research Track PC,vldb,2017
GSQaeoQAAAAJ,Research Track PC,vldb,2017
_WVA7NYAAAAJ,Industrial Track PC,vldb,2017
QBoOiHMAAAAJ,Industrial Track PC,vldb,2017
QADnFFYAAAAJ,Industrial Track PC,vldb,2017
yB17meAAAAAJ,Industrial Track PC,vldb,2017
Xx5LnR4AAAAJ,Industrial Track PC,vldb,2017
jrPG2AUAAAAJ,Industrial Track PC,vldb,2017
6Oy7DZUAAAAJ,Industrial Track PC,vldb,2017
rA9nFskAAAAJ,Industrial Track PC,vldb,2017
JzoifEMAAAAJ,Industrial Track PC,vldb,2017
Zbc8GK4AAAAJ,Industrial Track PC,vldb,2017
pdDeRScAAAAJ,Industrial Track PC,vldb,2017
3AV1TsAAAAAJ,Industrial Track PC,vldb,2017
v_uxLhgAAAAJ,Industrial Track PC,vldb,2017
jfdT_HIAAAAJ,Industrial Track PC,vldb,2017
e9qUUSgAAAAJ,Industrial Track PC,vldb,2017
mua0zR4AAAAJ,Industrial Track PC,vldb,2017
X22nUYgAAAAJ,Industrial Track PC,vldb,2017
pyZ_FH4AAAAJ,Industrial Track PC,vldb,2017
wJmcDJ4AAAAJ,Industrial Track PC,vldb,2017
uF3-t9EAAAAJ,Industrial Track PC,vldb,2017
4giObdQAAAAJ,Industrial Track PC,vldb,2017
YYzvyMQAAAAJ,Industrial Track PC,vldb,2017
-tjGaHAAAAAJ,Industrial Track PC,vldb,2017
zxeEF2gAAAAJ,Associate Editors,vldb,2016
DCIZE1kAAAAJ,Associate Editors,vldb,2016
Hs9cVRgAAAAJ,Associate Editors,vldb,2016
F_MI0pcAAAAJ,Associate Editors,vldb,2016
YG6mTEIAAAAJ,Associate Editors,vldb,2016
Hg4HmTAAAAAJ,Associate Editors,vldb,2016
3Y254i4AAAAJ,Associate Editors,vldb,2016
ca7BUlkAAAAJ,Associate Editors,vldb,2016
47sihrsAAAAJ,PC,vldb,2016
WqZUoFMAAAAJ,PC,vldb,2016
Y1aOQ3QAAAAJ,PC,vldb,2016
vX45evgAAAAJ,PC,vldb,2016
YHR0wkkAAAAJ,PC,vldb,2016
DDxFvcIAAAAJ,PC,vldb,2016
PBxCac8AAAAJ,PC,vldb,2016
R1Jt75cAAAAJ,PC,vldb,2016
0s4q-8oAAAAJ,PC,vldb,2016
r1quzEkAAAAJ,PC,vldb,2016
7R7MSb4AAAAJ,PC,vldb,2016
_3I7KHAAAAAJ,PC,vldb,2016
X0xJXZ0AAAAJ,PC,vldb,2016
A3ZBxxcAAAAJ,PC,vldb,2016
gtglwgYAAAAJ,PC,vldb,2016
mGPuiasAAAAJ,PC,vldb,2016
Jh3QCRYAAAAJ,PC,vldb,2016
7SdcAiEAAAAJ,PC,vldb,2016
kdv2ajAAAAAJ,PC,vldb,2016
IJAU8KoAAAAJ,PC,vldb,2016
oleB9xIAAAAJ,PC,vldb,2016
njFoZewAAAAJ,PC,vldb,2016
LKgo-jcAAAAJ,PC,vldb,2016
q3xV7s8AAAAJ,PC,vldb,2016
B5YcbTYAAAAJ,PC,vldb,2016
Y1aOQ3QAAAAJ,PC,vldb,2016
v19BUHIAAAAJ,PC,vldb,2016
uGsKvHoAAAAJ,PC,vldb,2016
u0S6ofAAAAAJ,PC,vldb,2016
SGay8u4AAAAJ,PC,vldb,2016
FtbGhBQAAAAJ,PC,vldb,2016
11JgipcAAAAJ,PC,vldb,2016
K6xHUEsAAAAJ,PC,vldb,2016
TBaBNdkAAAAJ,PC,vldb,2016
Jp_w2IwAAAAJ,PC,vldb,2016
1yE4VlgAAAAJ,PC,vldb,2016
jyykiFIAAAAJ,PC,vldb,2016
2wJaIkEAAAAJ,PC,vldb,2016
D2P2B0MAAAAJ,PC,vldb,2016
OLfQNfEAAAAJ,PC,vldb,2016
XHfTq_gAAAAJ,PC,vldb,2016
qXb4xQMAAAAJ,PC,vldb,2016
DWERCmsAAAAJ,PC,vldb,2016
slVcOQIAAAAJ,PC,vldb,2016
aP-_mb8AAAAJ,PC,vldb,2016
7PQN6r4AAAAJ,PC,vldb,2016
eOZR3vEAAAAJ,PC,vldb,2016
biuxbRsAAAAJ,PC,vldb,2016
J_XhIsgAAAAJ,PC,vldb,2016
_RCsaOsAAAAJ,PC,vldb,2016
jfdT_HIAAAAJ,PC,vldb,2016
qPDhlWkAAAAJ,PC,vldb,2016
Pi89P8kAAAAJ,PC,vldb,2016
0EWw1z8AAAAJ,PC,vldb,2016
SqAsppUAAAAJ,PC,vldb,2016
jOvUDjYAAAAJ,PC,vldb,2016
BauIS1IAAAAJ,PC,vldb,2016
q6Ft35wAAAAJ,PC,vldb,2016
O3aCRaoAAAAJ,PC,vldb,2016
uF3-t9EAAAAJ,PC,vldb,2016
mlafJ6wAAAAJ,PC,vldb,2016
GHz1ZVIAAAAJ,PC,vldb,2016
Uk9v1BQAAAAJ,PC,vldb,2016
HHd7uewAAAAJ,PC,vldb,2016
OhiNDfkAAAAJ,PC,vldb,2016
eZyrbXIAAAAJ,PC,vldb,2016
qFOwPNQAAAAJ,PC,vldb,2016
qUBdmWgAAAAJ,PC,vldb,2016
JaAonb0AAAAJ,PC,vldb,2016
VeB3UbcAAAAJ,PC,vldb,2016
2mjUsP8AAAAJ,PC,vldb,2016
5tcfuXMAAAAJ,PC,vldb,2016
u1UDm4wAAAAJ,PC,vldb,2016
zIMEVKsAAAAJ,PC,vldb,2016
PsBGmRcAAAAJ,PC,vldb,2016
B_GQDXMAAAAJ,PC,vldb,2016
e_SGo7EAAAAJ,PC,vldb,2016
3ggE9SkAAAAJ,PC,vldb,2016
47gh3JkAAAAJ,PC,vldb,2016
iZdkiP4AAAAJ,PC,vldb,2016
nAGXeFkAAAAJ,PC,vldb,2016
aqV8t7QAAAAJ,PC,vldb,2016
Nc_AL5UAAAAJ,PC,vldb,2016
h8M0U0oAAAAJ,PC,vldb,2016
