PID, Name, Affiliation
FJ7im7AAAAAJ,Immanuel Trummer,Professor for Computer Science;Cornell University
C77agCsAAAAJ,Ippokratis Pandis,Principal Engineer; Amazon Web Services
AZREOBUAAAAJ,Jagan Sankaranarayanan,Google Inc
5bYRZ4sAAAAJ,Jaideep Vaidya,RBS Dean's Research Professor of Computer Information Systems;Rutgers University
113myEYAAAAJ,Jayant Madhavan,Google Inc.
kVUa9ZoAAAAJ,Jennie Rogers,Assistant Professor;Northwestern University
fykfPiwAAAAJ,Jens Dittrich,Professor of Computer Science;Saarland University; Saarland Informatics Campus
fKV65XQAAAAJ,Jiannan Wang,Assistant Professor;Simon Fraser University
5tcfuXMAAAAJ,Jignesh M. Patel,Professor of Compuer Sciences;University of Wisconsin
Ftj1h4cAAAAJ,Jing Gao,Assistant Professor; Computer Science and Engineering;SUNY at Buffalo
gM2WW9UAAAAJ,Joseph Gonzalez,Assistant Professor;UC Berkeley
UhJRkaIAAAAJ,Julia Stoyanovich,Drexel University
BGh9WU4AAAAJ,Julian Shun,MIT
jfdT_HIAAAAJ,Justin Levandoski,Microsoft Research
X9NC1jIAAAAJ,Dr. Kaushik Chakrabarti,Senior Research Fellow; Department of Materials Science; Indian Association for the Cultivation of
dWcZPFEAAAAJ,Ke Yi,HKUST
ca7BUlkAAAAJ,Kian-Hian Tan,Assistant Professor Duke-NUS Graduate Medical School
mADR4AYAAAAJ,Kjetil Nørvåg,Professor of Computer Science;Norwegian Univ. of Science and Technology
QY-earAAAAAJ,Kristian Kersting,Professor of Computer Science;TU Darmstadt
_RCsaOsAAAAJ,Laks V.S. Lakshmanan,Professor of Computer Science;University of British Columbia
jZgjlGUAAAAJ,Lei Zou,Professor
gtglwgYAAAAJ,Lei Chen,Hong Kong University of Science and Technology
jJ8BLgsAAAAJ,Li Xiong,Emory University
1JhvxSEAAAAJ,Lucian Popa,IBM Almaden Research Center
DDxFvcIAAAAJ,Magdalena Balazinska,University of Washington
oJ6G8gUAAAAJ,makoto onizuka,Osaka University
RyXHY68AAAAJ,Manos Athanassoulis,Postdoctoral Researcher;Harvard University
DuLgpaQAAAAJ,Meihui ZHANG,Beijing Institute of Technology
wuj5y3MAAAAJ,Michael Hay,Colgate University
WemX9rAAAAAJ,Minos Garofalakis,Director; IMSI; Athena Research and Innovation Centre & Professor;Technical University of Crete
kOc0x0MAAAAJ,Mohamed Sarwat,Assistant Professor of Computer Science;Arizona State University
Lx9fbJoAAAAJ,Mohammad Sadoghi,Assistant Professor; UC Davis
FzNzuBsAAAAJ,Mourad Ouzzani,Qatar Computing Research Institute; HBKU
qXb4xQMAAAAJ,Murat Kantarcioglu,Professor of Computer Science;University of Texas at Dallas
poXWlycAAAAJ,Tang Nan,Qatar Computing Research Institute
jOvUDjYAAAAJ,Nikos Mamoulis,University of Ioannina
Qc_4yiYAAAAJ,Ninghui Li,Professor of Computer Science;Purdue University
B6C4aBoAAAAJ,Panagiotis Karras,Associate Professor;Aarhus University
YwoezYX7JVgJ,Paolo Papotti,Assist. Professor atEurecom
CaO1wNAAAAAJ,Paraschos Koutris,University of Washington
TKSjVTUAAAAJ,Peter Alvaro,Assistant Professor of Computer Science;UC Santa Cruz
qG1LVpQAAAAJ,Peter Bailis,Stanford DAWN
vYcHYoYAAAAJ,Peter Pietzuch,Professor of Distributed Systems;Imperial College London
JTmMb3kAAAAJ,Pınar Tözün,EPFL
SqAsppUAAAAJ,Qiong Luo,HKUST
IKgiD0AAAAAJ,Raymond Chi-Wing Wong,TheHong Kong University of Science and Technology
aPB--KUAAAAJ,Steffen Mueller,Codagenix Inc
7R7MSb4AAAAJ,Reynold Cheng,Associate Professor of Computer Science;University of Hong Kong
OLfQNfEAAAAJ,Ryan Johnson,Professor of Computer Science;University of Toronto
pyZ_FH4AAAAJ,Ryan Stutsman,School of Computing;University of Utah
KtP9-zYAAAAJ,S. Sudarshan,Professor of Computer Science;Indian Institute of Technology; Bombay
OiVJBdAAAAAJ,Sebastian Breß,German Research Center for Artificial Intelligence(DFKI GmbH) and Technische Universität Berlin
XxQq8nsAAAAJ,Semih Salihoglu,Asst. Prof.;University of Waterloo
uF3-t9EAAAAJ,Sergey Melnik,University of Limerick
MTZaRW4AAAAJ,sharad mehrotra,Univ. of California; Irvine
8qdXaOkAAAAJ,Shuo Shang,KAUST
2cpal78AAAAJ,Sören Auer,Leibniz University of Hannover; TIB Leibniz Information Centre for Science and Technology
o0F3sqEAAAAJ,Sourav S Bhowmick,Associate Professor;Nanyang Technological University
4_1z8yEAAAAJ,Spyros Blanas,Assistant Professor of Computer Science and Engineering; TheOhio State University
k3YaoIEAAAAJ,Stanley Zdonik,Brown University
aiulJmIAAAAJ,Stefano Ceri,Professor;Politecnico di Milano
w6hts30AAAAJ,Steven Euijong Whang,Research Scientist; Google Research
rg6Bl5YAAAAJ,Stratos Idreos,Harvard School of Engineering and Applied Sciences
vzfO5TwAAAAJ,Sudeepa Roy,Duke University; Computer Science
LKgo-jcAAAAJ,Sudipto Das,Researcher; Microsoft Research
dwxm_CoAAAAJ,M. Tamer Özsu,Professor of Computer Science;University of Waterloo
ZUzG5igAAAAJ,Theodoros Rekatsinas,Assistant Professor;University of Wisconsin-Madison
ZfUyYtEAAAAJ,Thomas Neumann,Hochschule für Technik und Wirtschaft Dresden
biuxbRsAAAAJ,Tim Kraska,UC Berkeley
IukO3bIAAAAJ,Todd J. Green,Assistant Professor of Computer Science;University of California - Davis
ewCT-KkAAAAJ,Torben Pedersen,Bocconi University
VKfq59gAAAAJ,Ulf Leser,Knowledge Management in Bioinformatics;Humboldt-Universität zu Berlin
nKR2tGvMLFMC,Vagelis Hristidis (aka Evangelos Christidis),Associate Professor of Computer Science;University of California - Riverside
Md2HV1cAAAAJ,Vassilios Verykios,Hellenic Open University; GREECE
u0S6ofAAAAAJ,Wenfei Fan,Professor of Web Data Management;University of Edinburgh
Owype4oAAAAJ,Wentao Wu,Microsoft Research
oPGhz_cAAAAJ,Willis Lang,Microsoft Corp;University of Wisconsin
YYzvyMQAAAAJ,Wolfgang Lehner,Technische Universität Dresden
Jp_w2IwAAAAJ,Wook-Shin Han,Professor;Pohang University of Science and Technology
y6m820wAAAAJ,Xiaofang Zhou,Professor of Computer Science;University of Queensland
BpgsGX0AAAAJ,Xiaokui Xiao,National University of Singapore
XZV2eogAAAAJ,Xifeng Yan,Professor; Computer Science;Univ. of California at Santa Barbara
Y1aOQ3QAAAAJ,Yael Amsterdamer,Senior lecturer; the Department of Computer Science;Bar Ilan University
BtpxluIAAAAJ,Yanif Ahmad,Assistant Professor of Computer Science; TheJohns Hopkins University
81cvn3sAAAAJ,Yannis Papakonstantinou,UCSD
FI1rYesAAAAJ,Yannis Velegrakis,Professor of Computer Science;University of Trento
K-isjagAAAAJ,He He,Post-doc atStanford University
XbLPeQcAAAAJ,Yi Chen,New Jersey Institute of Technology
r1VFrkAAAAAJ,Yin Yang,Hamad Bin Khalifa University
9LTwX4cAAAAJ,Ying Zhang,University of Technology Sydney(UTS)
9u7wNjUAAAAJ,Yinghui Wu,Washington State University
_XE_jhQAAAAJ,Yuanyuan Tian,IBM Almaden Research Center
3FmJBHkAAAAJ,Yufei Tao,Chinese University of Hong Kong
SB3_eb0AAAAJ,He Yuxiong,Microsoft Research
Qg7T6vUAAAAJ,Zaiqing Nie,Microsoft Research Asia
p3aFd0sAAAAJ,Zhe (Shirley) Chen,University of Michigan; Ann Arbor
ck-yNM0AAAAJ,BAO ZHIFENG,RMIT University; Australia
Q7QvAjgAAAAJ,Zhiwei Zhang,Hong Kong Baptist University
QUdlpN0AAAAJ,Ziawasch Abedjan,TU Berlin
SIxd6jgAAAAJ,Dan Suciu,University of Washington
YdrkeNwAAAAJ,Anastasia Ailamaki,Professor of Computer and Communication Sciences.EPFL
wb9DYOEAAAAJ,Carlo Aldo Curino,Principal Research Scientist;Microsoft-- CISL
e8WrHMwAAAAJ,Xin Dong,Lawrence Berkeley National Laboratory
sSzAlq0AAAAJ,Juliana Freire,New York University
bxSK7o8AAAAJ,Benny Kimelfeld,Technion - Israel Institute of Technology
4VLZdawAAAAJ,Hank Korth,Professor of Computer Science;Lehigh University
q6Ft35wAAAAJ,Ioana Manolescu,Senior researcher; Inria Saclay; part-time professor; Ecole polytechnique; France
VeB3UbcAAAAJ,Aditya Parameswaran,Assistant Professor; University of Illinois (UIUC)
8RZQjpEAAAAJ,Hyunjung Park,Google
SdGU2bMAAAAJ,Jens Teubner,Senior Researcher;ETH Zurich; Systems Group
3BX3vWcAAAAJ,Eugene Agichtein,Associate Professor of Computer Science;Emory University
AjuZwsIAAAAJ,Ramin Aghababaei,Assistant Professor atAarhus University
Vg_tH_0AAAAJ,Lyublena Antova,Datometry
ObrHM1sAAAAJ,Udaya Prakash Nyayiru Kannaian,Associate Professor; Dept. of Biotechnology; Vels University; Chennai
O125w4cAAAAJ,Senjuti Basu Roy,Assistant Professor; Department of Computer Science;New Jersey Institute of Technology
atL47L0AAAAJ,Michael Benedikt,Professor of Computer Science;Oxford University
EfuT9RoAAAAJ,Elisa Bertino,Professor of Computer Science; Director of Cyber Center;Purdue University
0RdtBlUAAAAJ,Angela Bonifati,Professor of Computer Science;Lyon 1 University
keO-0s0AAAAJ,K. Selcuk Candan,Professor of Computer Science and Engineering;Arizona State University
6cR0AYIAAAAJ,Bogdan Cautis,University of Paris-Sud 11
