PID, Name, Affiliation
2mjUsP8AAAAJ,Srinivasan Parthasarathy,Professor of Computer Science and Engineering; TheOhio State University
fhxshS0AAAAJ,Alexandre Gramfort,INRIA; Univ. Paris-Saclay
XGzPuKEAAAAJ,Torben Bach Pedersen,Professor of Computer Science;Aalborg University
zIMEVKsAAAAJ,Jian Pei,Professor of Computing Science;Simon Fraser University
sLHyO1wAAAAJ,Li Qian (钱黎）,Professor; Electrical and Computer Engineering;University of Toronto
4daYeHcAAAAJ,Jorge-Arnulfo Quiané-Ruiz,Qatar Computing Research Institute; HBKU
JkA9YJAAAAAJ,Karthik Ramachandra,Microsoft Jim Gray Systems Lab
qoUDihAAAAAJ,RAVIKUMAR MUPPIRALA,Unknown affiliation
e_SGo7EAAAAJ,Vijayasankar Raman,National Center for Natural Products Research;University of Mississippi
DnnCWN0AAAAJ,Christopher Ré,Computer Science;Stanford University
GiYeBaAAAAAJ,Marcel Risch,University of Goettingen
wKuXqccAAAAJ,Mike Sears,Clemson University
rejzeocAAAAJ,Elaine Runting Shi,Associate Professor; Cornell
eyCw9goAAAAJ,Suvrit Sra,MIT
vN-is70AAAAJ,Ion Stoica,Professor of Computer Science;UC Berkeley
vNAD0mAAAAAJ,Gerhard Weikum,Professor of Computer Science;Max Planck Institute for Informatics; Saarland Informatics Campus
L8zhVsMAAAAJ,Tiark Rompf,Purdue University
zMYeuzMAAAAJ,Xiaochun Yang,Professor of Computer Science;Northeastern University; China
I1EvjZsAAAAJ,Matei Zaharia,Stanford DAWN Lab and Databricks
sEl5MeQAAAAJ,Kai Zeng,Senior Scientist;Microsoft
kp0baVYAAAAJ,Bolong Zheng,TheUniversity of Queensland
64zxhRUAAAAJ,Jingren Zhou,Alibaba Group; Microsoft
zV_MbA4AAAAJ,Abdul Quamar,Research Staff Member; IBM-Research Almaden
v2-C4i4AAAAJ,Agma J. M. Traina,Universidade de Sao Paulo
szORzAoAAAAJ,Alex Thomo,Professor of Computer Science;University of Victoria
czUxfJgAAAAJ,Sarah Holloway,Professor of Human Geography;Loughborough University
GfDVWmEAAAAJ,Andrea Calì,Birkbeck University of Londonand Oxford-Man Institute of Quantitative Finance
7Vh0rQ0AAAAJ,Anja Gruenheid,Google Inc.
SGT23RAAAAAJ,Anshumali Shrivastava,Rice University
srFoN_4AAAAJ,Antonios Deligiannakis,Associate Professor of Computer Science;Technical University of Crete
A3ZBxxcAAAAJ,Arbee L.P. Chen (陳良弼),Asia University; Taiwan
11JgipcAAAAJ,Aristides Gionis,Aalto University
Sk-JV9QAAAAJ,Arnab Bhattacharya,Computer Science and Engineering;Indian Institute of Technology; Kanpur
4B-C50EAAAAJ,Shigeo Morishima,Professor of Applied Physics;Waseda University
2QUyZaMAAAAJ,Henrique Rebêlo,Professor of Computer Science;Universidade Federal de Pernambuco
jKHvF80AAAAJ,Bernd Amann,Professor of Computer Science;Université Pierre et Marie Curie
AjYkTi8AAAAJ,Bolin Ding,Researcher; Data Management; Exploration and Mining Group (DMX); Microsoft Research
S6L1eOMAAAAJ,Byron Choi,Associate Professor;Hong Kong Baptist University
mcz6T78AAAAJ,Chee Yong Chan,National University of Singapore
IiSNwnAAAAAJ,Chi Wang,Microsoft Research
15bmyOkAAAAJ,Chuan Xiao,Nagoya University
INQwsQkAAAAJ,Christian Bizer,Professor of Information Systems;University of Mannheim; Germany
Kw71k1gAAAAJ,Da Yan,TheUniversity of Alabama at Birmingham
2T5fDJQAAAAJ,David Koop,Computer & Information Science;UMass Dartmouth
hI3a_oIAAAAJ,Bo-Yin Yang,Academia Sinica
gg0HkEsAAAAJ,Emmanuel Müller,Professor of Computer Science;Hasso Plattner Institute
uLa0zdcAAAAJ,Feida Zhu,Singapore Management University
iG3kO1QAAAAJ,Fernando Chirigati,Ph.D. Candidate at NYU Tandon School of Engineering
RcCvJVQAAAAJ,François Goasdoué,Professor of Computer Science; Université de Rennes
87TyXPcAAAAJ,George H. L.  Fletcher,Eindhoven University of Technology
RG3PiFgAAAAJ,Georgia Koutrika,Athena Research Center
v19BUHIAAAAJ,Gillian Dobbie,University of Auckland
N3DjoZYAAAAJ,Haibo Hu,Dept. of Electronic and Information Engineering;Hong Kong Polytechnic University
TBaBNdkAAAAJ,Haryadi Gunawi,Assistant Professor of Computer Science;University of Chicago
Y9FApJ4AAAAJ,Nathan D. Mueller,Assistant Professor;University of California; Irvine
oqpT1YUAAAAJ,Heiner Stuckenschmidt,University of Mannheim
jyykiFIAAAAJ,Herodotos Herodotou,Lecturer (tenure-track);Cyprus University of Technology
s3lQL7YAAAAJ,Hong Cheng,Assistant Professor; TheChinese University of Hong Kong
HNwwWQgAAAAJ,Huy T. Vo,TheCity College of New York; City University of New York and New York University
w2n5LhUAAAAJ,Ira Assent,Associate Professor of Computer Science;Aarhus University; Denmark
kdv2ajAAAAAJ,Isabel F. Cruz,University of Illinois at Chicago
LJNsBeoAAAAJ,Jianliang Xu (徐建良),Professor of Computer Science;Hong Kong Baptist University
0EWw1z8AAAAJ,Jimmy Lin,University of Waterloo
clR6jhIAAAAJ,Jonathan P.  Goldstein,Professor of economics; Bowdoin Collebe
3C-n5Y8AAAAJ,Jose Rubens Macedo Jr,Federal University of Uberlândia
iWy055wAAAAJ,Josep Domingo-Ferrer,Distinguished Professor;Universitat Rovira i Virgili; UNESCO Chair in Data Privacy; FIEEE; ACM DS
i6wFsEQAAAAJ,Ke Wang,Professor of Computing Science;Simon Fraser University
YxHLAJkAAAAJ,Ken Barker,IBM Research
3Y254i4AAAAJ,Kyuseok Shim,Professor of Electrical and Computer Engineering Department;Seoul National University; Korea
AQJggUwAAAAJ,Luc Bouganim,Researcher at INRIA SACLAY-Île de France -  France
IJECSdkAAAAJ,Marco Serafini,Scientist at Qatar Computing Research Institute (QCRI) - HBKU
36XiC_4AAAAJ,maria  luisa damiani,Dipartimento di Informatica;Università degli Studi di Milano; Italy
WiQmAvYAAAAJ,Martin Theobald,Professor of Computer Science - Big Data;University of Luxembourg
nSg32MQAAAAJ,Matteo Golfarelli,Associate Professor; DISI -University of Bologna
jrPG2AUAAAAJ,Matthias Boehm,IBM Research - Almaden
47gh3JkAAAAJ,Matthias Renz; Associate Professor,Computational and Data Science;George Mason University
KHjLaWAAAAAJ,Mohamed A. Sharaf,TheUniversity of Queensland
mIKYkDgAAAAJ,Niketan Pansare,IBM Research; Almaden
cIuzBbsAAAAJ,Norman May,SAP SE
TezsWQUAAAAJ,Panagiotis Bouros,Johannes Gutenberg University Mainz; Germany
8qOWtywAAAAJ,Panagiotis Papapetrou,Professor;Stockholm University; Sweden
xe0eVksAAAAJ,Pankaj K. Agarwal,Duke University
v7FGOH0AAAAJ,Thomas Cerqueus,R&D developer
GU9HgNAAAAAJ,Quanquan Gu,Assistant Professor of Computer Science;University of Virginia
3ggE9SkAAAAJ,Rajeev Rastogi,Unknown affiliation
4gaNzroAAAAJ,Ralf Schenkel,Universitaet Trier
NjeM1LsAAAAJ,Renee Miller,University of Toronto
oZGA-rAAAAAJ,Jakob Verbeek,Research Director atINRIA
K5VpjOsAAAAJ,Sandeep Tata,Google
9a-vkpgAAAAJ,Sang-Won Lee,Professor of Computer Science and Engineering;Sungkyunkwan University
J2sg9BwAAAAJ,Sara Cohen,Hebrew University
1D-7MFgAAAAJ,Sergio Servidio,University of Calabria
Fe8iIHMAAAAJ,Shady Elbassuoni,Assistant Professor of Computer Science;American University of Beirut
FI5-sZEAAAAJ,Shahram Ghandeharizadeh,Director of Database Laboratory;USC
sWgtY_sAAAAJ,Srikanta Tirthapura,Professor of Computer Engineering;Iowa State University
jbKkx5wAAAAJ,Sungpack Hong,Oracle Labs
cuVzEDYAAAAJ,Theodore Johnson,Somalogic
QT9-AZ4AAAAJ,Vanessa Braganholo,Professor of Computer Science;Universidade Federal Fluminense
_3I7KHAAAAAJ,Venkatesan Chakaravarthy,IBM Research; Bangalore
qFOwPNQAAAAJ,Viktor Leis,Technische Universität München
8yoVipwAAAAJ,Joël Eymery,Univ. Grenoble Alpes;CEA; INAC-MEM; Nanostructures and Synchrotron Radiation Laboratory
sXPYZ-IAAAAJ,Vineet Chaoji,Scientist;Amazon
oad6_oEAAAAJ,Wagner Meira; Jr.,Professor of Computer Science;Universidade Federal de Minas Gerais; Brazil
9OdHL5wAAAAJ,Wang-Chien Lee,Pennsylvania State University
pPInY4UAAAAJ,Wei D. Lu (Wei Lu; 卢伟) University of Michigan,University of Michigan; Professor; Electrical Engineering and Computer Science
46Dd4v4AAAAJ,Wei Wang,National University of Singapore
ljyBjv8AAAAJ,Wynne HSU,Professor of Computer Science;National Univeristy of Singapore
qFiMLsIAAAAJ,Xiaodong Zhang,TheOhio State University
MT_DWa4AAAAJ,Xuan Liu,AT&T Labs - Research
TQgOjK0AAAAJ,Yizhou Sun,Assistant Professor; Computer Science;UCLA
RaINcuUAAAAJ,Hanghang Tong,Arizona State University
jCJDleAAAAAJ,Yoshiharu Ishikawa,Nagoya University
r0nnyGYAAAAJ,Zhenhui (Jessie) Li,Associate Professor of Information Sciences and Technology;Pennsylvania State University
GSQaeoQAAAAJ,Zoi Kaoudi,Qatar Computing Research Institute
NyoHewcAAAAJ,Angelo Cangelosi,Professor of Artificial Intelligence and Cognition;Plymouh University
WcVpbRwAAAAJ,Amit Agarwal,Indian Institute of Technology; Kanpur (India)
8nZV2tEAAAAJ,Dimitris Cheliotis,National and Kapodistrian University of Athens
pdDeRScAAAAJ,Goetz Graefe,Google Inc
pawfeJAAAAAJ,Changliang Guo,Stony Brook University
e1M9wXEAAAAJ,Min Wang,Google Research
GuUidjwAAAAJ,Pedro Bizarro,Feedzai /University of Coimbra
X22nUYgAAAAJ,Reynold Shi Xin,Databricks
1yE4VlgAAAAJ,Stavros Harizopoulos,Facebook Engineering
axPr2SQAAAAJ,a.t. charlie Johnson,professor of physics and astronomy;university of pennsylvania
AjxoEpIAAAAJ,Wei Liu,Tencent AI Lab
SW_WaQ0AAAAJ,Xiujun Li,Microsoft Research Redmond
RJML1hgAAAAJ,Zhigang Chen,San Francisco State Univ. and Nankai Univ.
B_GQDXMAAAAJ,Rachel Pottinger,Associate Professor of Computer Science;University of British Columbia
am2ohp0AAAAJ,Alexander Löser,Professor for Databases and Text-based Information Systems
LFTRuMEAAAAJ,Ansgar Scherp,Kiel University and ZBW - Leibniz Information Centre for Economics
3fvu4fcAAAAJ,Aris Anagnostopoulos,Associate Professor of Computer Science;Sapienza University of Rome
Nc_AL5UAAAAJ,Bernhard Seeger,Professor of Computer Sciene;University of Marburg
pHTgOOIAAAAJ,Peter Morters,Professor für angewandte Mathematik; Universität zu Köln
jEdhxGMAAAAJ,Cyrus Shahabi,Professor of Computer Science;University of Southern California
T_YePXEAAAAJ,Daniel de Oliveira,Professor of Computer Science;Universidade Federal Fluminense(UFF)
evZ9Q9EAAAAJ,Davide Mottin,Postdoctoral researcher;Hasso Plattner Institute
tDZy_OsAAAAJ,Dmitri V. Kalashnikov,Senior Inventive Scientist at AT&T Labs Research
jaqDCS4AAAAJ,Eli Cortez,Microsoft
pi985dQAAAAJ,Fabrizio Silvestri,Facebook; London; UK
aP-_mb8AAAAJ,Florian Kerschbaum,University of Waterloo
tSsTPxgAAAAJ,George Papadakis,Departement of Informatics and Telecommunications;University of Athens
Lkt7O6wAAAAJ,Hannes Voigt,Technische Universität Dresden
Q4Sn28AAAAAJ,Haris Volos,Senior Researcher; Hewlett-Packard Labs
7G5G9mkAAAAJ,Indrakshi Ray,Colorado State University
3YDUbP0AAAAJ,Ingmar Weber,Qatar Computing Research Institute
iiIxp8cAAAAJ,Jaewoo Kang,Professor of Computer Science;Korea University
2jk-DfkAAAAJ,Jeffrey Pound,SAP Labs
hEonvSwAAAAJ,Johann Gamper,Free University of Bozen-Bolzano
uDvhoEkAAAAJ,Julien Langou,Professor;University of Colorado Denver
ErxOtuEAAAAJ,Kai-Uwe Sattler,Professor of Computer Science;Technische Universität Ilmenau
1G3LiQMAAAAJ,Karthik Sankaranarayanan,Intel
MWBc0-MAAAAJ,Kostis Kyzirakos,Centrum voor Wiskunde en Informatica; DB Architectures (DA)
_xFTK8wAAAAJ,Mong Li Lee,Professor of Computer Science;National University of Singapore
OsKAdpEAAAAJ,Luciano Barbosa,Assistant Professor -Universidade Federal de Pernambuco
yMFHG7wAAAAJ,Masatoshi Yoshikawa,Kyoto University
JireFzMAAAAJ,Maurice van Keulen,Associate Professor of Data Management Technology;University of Twente
y6BXzxIAAAAJ,Maya Ramanath,Assistant Professor; Dept. of CSE;IIT-Delhi
1ZO4t_AAAAAJ,Chun-Nan Hsu,University of California; San Diego
ug5vCjIAAAAJ,meikel poess,Software Developer;Oracle Corporation
qdpiy94AAAAJ,Michael Grossniklaus,Professor (W3) atUniversity of Konstanz
MRbdeWkAAAAJ,Mirella M. Moro,Universidade Federal de Minas Gerais
13Nd-WcAAAAJ,Nan Zhang,University College Dublin
X-9OH6AAAAAJ,Norman W. Paton,Professor of Computer Science;University of Manchester
AQA5QtAAAAAJ,Panos K. Chrysanthis,Professor of Computer Science;University of Pittsburgh
njKmu5cAAAAJ,Paolo Merialdo,Associate Professor;Università Roma Tre
GPnb9QUAAAAJ,Dr. Peter  Fischer,Institute of Geography;Johannes Gutenberg-University Mainz
NpccCXwAAAAJ,Philippe Cudre-Mauroux,Full Professor (Computer Science); U. of Fribourg–Switzerland
nAGXeFkAAAAJ,Pierangela Samarati,Universita` degli Studi di Milano
NvKHgzkAAAAJ,Raluca Ada Popa,Professor of computer science;UC Berkeley
reYJaYMAAAAJ,Raymond Ng,University of British Columbia
IGZ5WmgAAAAJ,Ricardo da Silva Torres,Full Professor;University of Campinas(UNICAMP)
RMaqDKAAAAAJ,Sai Wu,Zhejiang University
63bBmc3mYrAC,Seung-won Hwang,Yonsei University
4cvCp0kAAAAJ,Stefanie Scherzinger,OTH Regensburg
hJjASywAAAAJ,Uwe Röhm,TheUniversity of Sydney
av8jooQAAAAJ,Verena Kantere,National Technical University of Athens
wLtu3FYAAAAJ,Wei Wang,Professor; School of Computer Science and Engineering;University of New South Wales
Nr6E_rIAAAAJ,Wenchao Zhou,Georgetown University
3pXvHPUAAAAJ,Wendy Hui Wang,Stevens Institute of Technology
TZ91yu8AAAAJ,Xiaohui Yu,Associate Professor;York University
AHOG_MgAAAAJ,X. Sean Wang,School of Computer Science;Fudan University
2aXlMOAAAAAJ,Yannis Manolopoulos,Professor; Dept of Informatics;Aristotle University; Thessaloniki; Greece
5I0mFcsAAAAJ,Nan Cao,Researcher at IBM T.J. Watson Research Center
QBoOiHMAAAAJ,Alexander Maier,Assistant Professor of Psychology;Vanderbilt University
YjcYLdUAAAAJ,Amit Kumar,डा० ए० पी० जे० अब्दुल कलाम प्राविधिक विश्विद्यालय; उत्तर प्रदेश; लखनऊ
Xx5LnR4AAAAJ,Benjamin Schlegel,Oracle Labs
E9YbZ3cAAAAJ,Andrey Balmin,IBM Research - Almaden
Zbc8GK4AAAAJ,Gjergji Kasneci,CTO & Head of Innovation and Strategic Analysis at SCHUFA Holding AG
Odh4GSYAAAAJ,Gregor Kiczales,Professor of Computer Science;University of British Columbia
v_uxLhgAAAAJ,Sanjay Rao,Purdue University
e9qUUSgAAAAJ,Laura Haas,University of Massachusetts Amherst
P_9a7I0AAAAJ,Matthias Weidlich,Humboldt-Universität zu Berlin
D2luGAwAAAAJ,Anthony Waas,University of Washington; William E. Boeing Department of Aeronautics and Astronautics
9USDCdcAAAAJ,Niloy Mukherjee,Intel Corporation
IZmrE08AAAAJ,Suk Won Cha,Seoul National University
BhRa314AAAAJ,Bo Han,AT&T Labs Research
Hg4HmTAAAAAJ,Sunita Sarawagi,Indian Institute of Technology Bombay;  Mumbai; India.
WqZUoFMAAAAJ,Marcos K. Aguilera,Senior Staff Engineer and Researcher;VMware
YHR0wkkAAAAJ,Marcelo Arenas,Professor of Computer Science; PUC Chile and Center for Semantic Web
PBxCac8AAAAJ,Zohra Bellahsene,Professeur d'informatique; LIRMM Université de montpellier
JB1j474AAAAJ,Deeparnab Chakrabarty,Dartmouth College
Jh3QCRYAAAAJ,Rada Chirkova,Associate Professor of Computer Science;North Carolina State University
B5YcbTYAAAAJ,Prasad Deshpande,IBM Research - India
DdHED4IAAAAJ,Hakan Tureci,Princeton University
FtbGhBQAAAAJ,Johannes Gehrke,Microsoft Office Products Group
DWERCmsAAAAJ,Ken-ichi Kawarabayashi,Unknown affiliation
INUL3eEAAAAJ,Jörg Kienzle,Professor of Computer Science;McGill University
J_XhIsgAAAAJ,Ravi Kumar,Google
yr8skEQAAAAJ,Simon Caton,National College of Ireland
eZyrbXIAAAAJ,Mario A. Nascimento,Professor of Computing Science
cqsXYlEAAAAJ,Dr Pang Hwee Hwa _,Professor of Information Systems;Singapore Management University
_f4sYhoAAAAJ,Ivo Jimenez,PhD Student;UC Santa Cruz
W1ZpREMAAAAJ,Ganesh Ramakrishnan,Assistant Professor; Department of Computer Science and Engineering;Indian Institute of Technology Bombay
iZdkiP4AAAAJ,Kenneth Ross,Materials Research Engineer;Pacific Northwest National Laboratory
aqV8t7QAAAAJ,Atish Das Sarma,Staff Research Scientist; eBay Research Labs
h8M0U0oAAAAJ,Sudipta Sengupta,Principal Research Scientist; Microsoft Research; Redmond; WA USA
b6SxnUEAAAAJ,Mohamed Soliman,Professor of Petroleum Engineering;University of Houston
eQUn8ugAAAAJ,Torsten Suel,Professor of Computer Science; NYU Tandon School of Engineering
4ZYEiVEAAAAJ,Douglas Terry,Samsung Research
wUJ2bXgAAAAJ,Jeffrey Ullman,Professor of Computer Science;Stanford University
z2P5-I0AAAAJ,Da-Wei Wang,School of Chemical Engineering;University of New South Wales
K2jKdVMAAAAJ,Tiziana Catarci,Professor of Computer Engineering;Sapienza - Università di Roma
tNmIw4MAAAAJ,Amr El Abbadi,Professor of Computer Science;UC Santa Barbara
cSfl_CoAAAAJ,Mayukh Lahiri,Postdoctoral Associate; IQOQI;University of Vienna
GAlAgGsAAAAJ,Sonny Shiu-Hing Lo,Professor; HKU SPACE
89WvmaAAAAAJ,Joseph G. L. Lee; PhD; MPH,East Carolina University
G1Iux80AAAAJ,Timos Sellis,Professor and Institute Director;Swinburne University of Technology; Australia
YERhuN8AAAAJ,Slawek Staworko,Assistant Professor; University of Lille
HCxwGIkAAAAJ,Demetris Zeinalipour,University of Cyprus
wo20cPYAAAAJ,Christian S. Jensen,Aalborg University; Department of Computer Science
ifU81ikAAAAJ,Karl Aberer,Professor of Computer and Communication Sciences;EPFL
W9ddrU8AAAAJ,Sandeep R Agrawal,Oracle Labs
4MDT20wAAAAJ,Klaus Berberich,htw saar;Max Planck Institute for Informatics; Saarland Informatics Campus
zpBeoc8AAAAJ,Laura Po,University of Modena and Reggio Emilia
pHwxwjwAAAAJ,Laure Berti-Equille,Aix-Marseille University; Polytech / LIF; Marseille; France
mQMC3aYAAAAJ,Rajesh Bordawekar,IBM T. J. Watson Research Center
w5bvD40AAAAJ,Yingyi Bu,Google
xiSS1ZIAAAAJ,Lei Cao,Postdoc of Computer Science;MIT
QXyj0hkAAAAJ,Debin Zhao,Dept. of Computer Science;Harbin Institute of Technology
kJIkUagAAAAJ,Xin Cao,University of New South Wales(UNSW)
sHXqNl4AAAAJ,Adriane Chapman,Associate Professor of Computer Science;University of Southampton
chWbG70AAAAJ,Muhammad Aamir Cheema,Monash University
2YD5wcEAAAAJ,Lisi Chen,Department of Computer Science; Hong Kong Baptist University
KolmTncAAAAJ,Vassilis Christophides,Univ of Crete
diEa5x0AAAAJ,G. Lagogiannis,Agricultural University of Athens
bshz1DEAAAAJ,Ahmed Eldawy,University of California; Riverside
KBiBATkAAAAJ,Mohamed Eltabakh,Assistant Professor in Computer Science;WPI
gsE1VKUAAAAJ,Peter Fischer,Senior Staff ScientistLBNL| Adjunct Professor Physics UC Santa Cruz | APS Fellow | IEEE Fellow
JxiXHvcAAAAJ,Lefteris Koumakis,Institute of Computer Science (ICS)  Foundation for Research and Technology - Hellas (FORTH)
fYPVRLgAAAAJ,Jun Gao,University of Twente
g0c3rmQAAAAJ,Jinyang Gao,National University of Singapore
ocfGYhcAAAAJ,Jian Gao,ThePenn State University; The University of Arizona; Zhejiang University
HEFGlx8AAAAJ,Dimitrios Georgakopoulos,Swinburne University of Technology
F4eflRgAAAAJ,Michael Gertz,Heidelberg University
Fz-M2tkAAAAJ,Behzad Golshan,Research Scientist; Recruit Institute of Technology
XG6dlLAAAAAJ,Xiong Gong,TheUniversity of Akron
8AiPiU0AAAAJ,Paolo Guagliardo,University of Edinburgh
s3L_fj0AAAAJ,Francesco Guerra,University of Modena and Reggio Emilia
wx6jA30AAAAJ,Shenoda Guirguis,Senior Member of Technical Staff; Oracle Labs
rDULxmwAAAAJ,Heli Väätäjä,Tampere University of Technology
IBZL3aQAAAAJ,Allison A. Wing,Florida State University
xOEd-Z8AAAAJ,C. Ed Hsu,International MBA;National Cheng-Kung University
MvGKdLoAAAAJ,Zhenjiang Hu,Professor;National Institute of Informatics
fjAgFSkAAAAJ,Nicole VINCENT,Professor of computer science;Paris descartes university
2lpWTDYAAAAJ,Vana Kalogeraki,Associate Professor;Athens University of Economics and Business; AUEB
7PQN6r4AAAAJ,Daniel Kiefer,Max Planck Institute of Quantum Optics; Ludwig-Maximilian-University of Munich
DbusQz8AAAAJ,Birgitta König-Ries,Heinz-Nixdorf Endowed Chair for Distributed Information Systems;University of Jena
h9mbv9MAAAAJ,Jae-Gil Lee,Associate Professor of Industrial and Systems Engineering;KAIST
s-pXApcAAAAJ,Samuel Leong,Hong Kong Institute of Education
BaChLEEAAAAJ,Xiulong Liu,hong kong polytechnic university
h1mExmcAAAAJ,Hua Lu,Department of Computer Science;Aalborg University
MVbJ9wQAAAAJ,rui mao,shenzhen university
PH96F4oAAAAJ,Kiran Garimella,Aalto University
ZPczFBAAAAAJ,Marta Mattoso,Professor of Computer Science; COPPE;Fed University Rio de Janeiro
dq6GHFwAAAAJ,Charalampos Mavroforakis,Boston University
zRbR5b8AAAAJ,Bernhard Mitschang,Universität Stuttgart
1poKDLsAAAAJ,Werner Nutt,Professor of Computer Science;Free University of Bozen-Bolzano
mVj8o7gAAAAJ,Konstantinos Pelechrinis,Associate Professor of Information Sciences;University of Pittsburgh
uwwHfssAAAAJ,Antonella Poggi,Ricercatore universitario;Sapienza Università di Roma
2ps8xkcAAAAJ,Giuseppe Scanniello,University of Basilicata
LFLG5pcAAAAJ,Krithi Ramamritham,Indian Institute of Technology Bombay
K4w5qYUAAAAJ,Sayan Ranu,IIT Delhi
WHug6IAAAAAJ,Juan Reutter,Pontificia Universidad Católica
qz6YaN4AAAAJ,Mirek Riedewald,Associate Professor of Computer Science;Northeastern University
5okzSN0AAAAJ,Matteo Riondato,Two Sigma Labs and Brown University CS
t7z2V78AAAAJ,Kenneth Salem,Professor of Computer Science;University of Waterloo
M7whMe0AAAAJ,Prasenjit Sarkar,Unknown affiliation
OFlBSEEAAAAJ,J. Shane Culpepper,RMIT University
wmleQ1QAAAAJ,Anna C Squicciarini,Pennsylvania State University
Lck1uq8AAAAJ,Kostas Stefanidis,Associate Professor;University of Tampere
Hp8UvrcAAAAJ,Dina Thomas,IIT Bombay; Stanford University; Oracle America Inc
Avus2kcAAAAJ,Goce Trajcevski,Dept. of EECS;Northwestern University
seXHg1QAAAAJ,PETER TRIANTAFILLOU,Professor; Chair of Data Systems; Computer Science;University of Warwick
Rmds8IcAAAAJ,Panayiotis Tsaparas,Associate Professor; Department of Computer Science and Engineering;University of Ioannina; Greece
fUTN90MAAAAJ,Vassilis J. Tsotras,Professor; Department of Computer Science and Engineering;University of California; Riverside
IS2FI1oAAAAJ,Dimitrios Tsoumakos,Associate Professor; Department of Informatics;Ionian University
wYQ-rAQAAAAJ,Antti Ukkonen,Academy Research Fellow;University of Helsinki
7xp4lKgAAAAJ,Stijn Vansummeren,Professor of Computer Science;Université Libre de Bruxelles
qfCah3sAAAAJ,Nalini Venkatasubramanian,Professor of Computer Science;Unviersity of California; Irvine
Dc7akeoAAAAJ,Jian-Sheng Wang,Department of Physics;National University of Singapore
Inqu8SkAAAAJ,Limsoon Wong 黄任祥,KITHCT Professor of Computer Science & Professor of Pathology;National University of Singapore
7WFEUNUAAAAJ,Akrivi Vlachou,Unknown affiliation
kbphsU0AAAAJ,Xiaoyan Yang,Clemson University
qjBQhoUAAAAJ,Bin Yang (杨彬),Aalborg University
l7FSy98AAAAJ,Junjie Yao,Associate Professor;East China Normal University
JJsBmhYAAAAJ,Hongzhi Yin,TheUniversity of Queensland
pHMIJG8AAAAJ,Ting Yu,Qatar Computing Research Institute (QCRI)
Xk6QwMgAAAAJ,Quan Yuan,Facebook
6-SBOoIAAAAJ,Ye Yuan,Northeastern Univsersity; China
fv1GAB8AAAAJ,Vladimir Zadorozhny,Associate Professor; School of Computing and Information;University of PIttsburgh
sTAoZeUAAAAJ,Arkady Zaslavsky,Data61 @CSIRO; Monash University; Lulea University of Technology(Sweden)
y5Jl2xsAAAAJ,Nan Zhang,Indiana University; Bloomington
nYN9A3IAAAAJ,Zhang Dongxiang,University of Electronic Science and Technology of China
Htf2zbsAAAAJ,Rui Zhang,Assistant Professor; Department of Computer and Information Sciences;University of Delaware
EM-l50cAAAAJ,Kai Zheng,Professor of Computer Science;University of Electronic Science and Technology of China
s-FDyf4AAAAJ,Andreas Züfle,Assistant Professor atGeorge Mason University
VghIYWEAAAAJ,Yanlei Diao,Professor of Computer Science;University of Massachusetts Amherst
kZERbLEAAAAJ,Alexandre Alves,Professor de Matemática;Universidade Federal de São Paulo; Diadema
yvT-HVYAAAAJ,Sumita Barahmand,Ph.D.University of Southern California
Km1V8WwAAAAJ,Vivek Borkar,Indian Institute of Technology Bombay
YQV_ChkAAAAJ,Marco Brambilla,Politecnico di Milano
0XpXCu8AAAAJ,Konstantinos Chatzikokolakis,CNRS & Ecole Polytechnique of Paris
QPyHkEQAAAAJ,Alfredo Cuzzocrea,Professor of Computer Engineering; University of Trieste; Italy
Kk0QTh4AAAAJ,Mohamad T. Shahab,PhD student; Electrical and Computer Engineering;University of Waterloo
PpcRwI0AAAAJ,Xin Huang,Hong Kong Baptist University
6CYvAjIAAAAJ,Jeomshik Hwang,Associate Professor in School of Earth and Environmental Sciences;Seoul National University
vLbmweYAAAAJ,Bettina Kemme,Associate Professor; School of Computer Science;McGill University
ICOWtt0AAAAJ,Yanhua Li,Assistant Professor atWorcester Polytechnic Institute
_ILTBg0AAAAJ,Lipyeow Lim,Professor of Information & Computer Sciences;University of Hawaii at Manoa
kZti0OcAAAAJ,Michael Mathioudakis,Assistant Professor atUniversity of Helsinki
xSDfDpsAAAAJ,Thomas Neumann,Professor;Technische Universität München
ZXjO-Q4AAAAJ,Nicola Segata,Centre for Integrative Biology (CIBIO);University of Trento
1XZix7MAAAAJ,Maria Koutraki,Postdoctoral researcher inKarlsruhe Institute of Technology(KIT)
O3SR2kAAAAAJ,Mary Roth,Research Staff Member; IBM Almaden Research Center
SLdtHZAAAAAJ,Stefan Richter,Saarland University
6DK9cqAAAAAJ,Zhigong Song,Tsinghua University
LVKaMIgAAAAJ,Egemen Tanin,Computing and Information Systems;University of Melbourne
JU-zSOkAAAAJ,Farhan Tauheed,Oracle Labs
3NqU8V8AAAAJ,Katerina (Aikaterini) Tzompanaki,Assistant professor /University of Cergy-Pontoise
a4HRDBEAAAAJ,Lianghong Xu,Carnegie Mellon University
f8FjAtMAAAAJ,Carlo Zaniolo,Professor of Computer Science;University of California; Los Angeles
GkXqbmMAAAAJ,Ce Zhang,ETH Zurich
kAq_-McAAAAJ,Vincent W. Zheng,Senior Research Scientist;ADSC; University of Illinois at Urbana-Champaign
E4GQv5cAAAAJ,Prof. Aimin Zhou,East China Normal University
